perf_id,well_id,engineer_id,month,production_bpd,decline_rate,uptime_pct,doc_hours,operating_hours
PP-001,WELL-001,ENG-008,2024-01,953,4.4,96.7,6.6,739
PP-002,WELL-002,ENG-018,2024-02,1852,1.19,88.3,7.1,684
PP-003,WELL-003,ENG-011,2024-03,1677,2.7,99.2,11.2,721
PP-004,WELL-004,ENG-018,2024-04,3280,7.86,85.1,11.7,714
PP-005,WELL-005,ENG-008,2024-05,2830,5.1,94.3,14.6,682
PP-006,WELL-006,ENG-013,2024-06,3461,7.59,90.7,10.4,672
PP-007,WELL-007,ENG-001,2024-01,2317,6.67,90.6,13.0,714
PP-008,WELL-008,ENG-016,2024-02,379,2.72,94.7,8.2,621
PP-009,WELL-009,ENG-004,2024-03,885,7.79,96.5,10.3,616
PP-010,WELL-010,ENG-007,2024-04,2945,5.22,88.2,11.9,626
PP-011,WELL-011,ENG-007,2024-05,2402,6.72,98.1,12.4,711
PP-012,WELL-012,ENG-021,2024-06,495,6.1,87.3,9.6,684
PP-013,WELL-013,ENG-002,2024-01,558,1.05,87.7,7.5,618
PP-014,WELL-014,ENG-019,2024-02,1132,7.33,91.1,9.5,703
PP-015,WELL-015,ENG-014,2024-03,1495,0.63,95.0,10.3,616
PP-016,WELL-016,ENG-025,2024-04,3255,4.89,95.4,5.7,728
PP-017,WELL-017,ENG-004,2024-05,1387,6.4,89.5,5.9,712
PP-018,WELL-018,ENG-013,2024-06,1818,6.67,85.5,6.6,656
PP-019,WELL-019,ENG-005,2024-01,3258,3.43,96.9,10.5,636
PP-020,WELL-020,ENG-010,2024-02,2974,7.15,99.4,13.7,695
PP-021,WELL-001,ENG-001,2024-03,2467,7.06,87.1,5.4,700
PP-022,WELL-002,ENG-018,2024-04,2442,7.6,89.5,12.5,688
PP-023,WELL-003,ENG-007,2024-05,1890,7.29,97.7,6.4,647
PP-024,WELL-004,ENG-008,2024-06,2726,6.76,87.9,6.8,613
PP-025,WELL-005,ENG-025,2024-01,2448,3.96,93.2,7.9,617
PP-026,WELL-006,ENG-009,2024-02,602,1.98,93.7,14.5,691
PP-027,WELL-007,ENG-005,2024-03,2949,5.42,86.5,11.2,649
PP-028,WELL-008,ENG-011,2024-04,2190,3.88,94.2,8.1,639
PP-029,WELL-009,ENG-019,2024-05,2521,3.23,89.7,9.3,601
PP-030,WELL-010,ENG-011,2024-06,1208,6.39,95.6,11.4,670
PP-031,WELL-011,ENG-012,2024-01,750,5.6,89.9,3.9,714
PP-032,WELL-012,ENG-012,2024-02,3373,2.79,93.2,2.7,620
PP-033,WELL-013,ENG-009,2024-03,773,7.18,87.9,12.3,619
PP-034,WELL-014,ENG-024,2024-04,508,7.19,97.7,11.3,703
PP-035,WELL-015,ENG-025,2024-05,2616,2.1,85.5,7.6,738
PP-036,WELL-016,ENG-016,2024-06,2878,6.31,90.5,7.2,674
PP-037,WELL-017,ENG-005,2024-01,2103,4.26,86.3,8.6,602
PP-038,WELL-018,ENG-022,2024-02,1178,6.86,97.0,11.1,642
PP-039,WELL-019,ENG-025,2024-03,2305,1.55,87.4,10.7,744
PP-040,WELL-020,ENG-022,2024-04,798,6.02,92.2,8.6,656
PP-041,WELL-001,ENG-025,2024-05,2197,2.24,88.9,7.3,652
PP-042,WELL-002,ENG-017,2024-06,3441,3.21,92.0,9.5,611
PP-043,WELL-003,ENG-002,2024-01,2856,2.93,95.5,10.2,670
PP-044,WELL-004,ENG-024,2024-02,1278,4.84,93.5,8.8,696
PP-045,WELL-005,ENG-012,2024-03,2607,5.4,97.4,4.1,696
PP-046,WELL-006,ENG-008,2024-04,2315,3.54,97.2,8.5,723
PP-047,WELL-007,ENG-020,2024-05,227,4.26,87.1,6.7,619
PP-048,WELL-008,ENG-017,2024-06,2835,2.61,87.2,6.6,630
PP-049,WELL-009,ENG-022,2024-01,1143,3.61,89.9,6.1,722
PP-050,WELL-010,ENG-016,2024-02,1063,4.93,94.6,9.1,662
PP-051,WELL-011,ENG-002,2024-03,723,4.8,87.4,11.3,610
PP-052,WELL-012,ENG-019,2024-04,801,0.92,88.8,6.8,703
PP-053,WELL-013,ENG-020,2024-05,2508,5.28,98.1,12.3,672
PP-054,WELL-014,ENG-003,2024-06,1087,3.87,99.8,20.7,643
PP-055,WELL-015,ENG-008,2024-01,1882,5.01,96.8,13.2,646
PP-056,WELL-016,ENG-020,2024-02,2901,4.33,87.5,11.9,716
PP-057,WELL-017,ENG-020,2024-03,2619,1.02,90.6,6.3,604
PP-058,WELL-018,ENG-007,2024-04,2341,6.95,92.5,9.2,638
PP-059,WELL-019,ENG-020,2024-05,594,1.83,98.4,11.0,736
PP-060,WELL-020,ENG-017,2024-06,3281,1.38,92.2,6.3,738
