quality_id,report_id,engineer_id,date,completeness_pct,accuracy_score,timeliness_hours,regulatory_ready
RQ-0001,RPT-002,ENG-009,2024-02-27,85.1,78.5,6.0,False
RQ-0002,RPT-016,ENG-018,2024-05-10,73.2,77.4,9.5,True
RQ-0003,RPT-018,ENG-025,2024-01-11,91.3,84.3,3.4,True
RQ-0004,RPT-004,ENG-024,2024-06-16,91.0,81.3,12.0,True
RQ-0005,RPT-009,ENG-012,2024-01-23,95.5,98.9,3.2,True
RQ-0006,RPT-007,ENG-024,2024-05-30,89.3,93.1,7.7,True
RQ-0007,RPT-006,ENG-020,2024-02-05,92.0,92.1,9.9,False
RQ-0008,RPT-012,ENG-018,2024-03-12,86.7,78.5,11.8,True
RQ-0009,RPT-010,ENG-019,2024-03-09,96.7,85.8,10.9,True
RQ-0010,RPT-005,ENG-025,2024-04-15,95.7,95.8,10.5,True
RQ-0011,RPT-005,ENG-008,2024-02-07,89.9,92.4,9.4,False
RQ-0012,RPT-013,ENG-016,2024-02-06,86.2,80.6,5.6,True
RQ-0013,RPT-003,ENG-021,2024-01-24,81.3,90.7,8.6,True
RQ-0014,RPT-015,ENG-016,2024-03-24,86.3,93.2,10.3,True
RQ-0015,RPT-015,ENG-021,2024-06-19,89.5,92.9,9.8,True
RQ-0016,RPT-007,ENG-014,2024-02-24,83.9,81.8,4.1,False
RQ-0017,RPT-005,ENG-019,2024-05-04,92.1,93.8,9.4,True
RQ-0018,RPT-004,ENG-021,2024-04-27,70.5,94.5,2.7,True
RQ-0019,RPT-001,ENG-014,2024-02-21,97.9,94.1,10.7,True
RQ-0020,RPT-006,ENG-009,2024-01-24,88.3,80.3,5.1,False
RQ-0021,RPT-006,ENG-002,2024-04-11,87.5,90.2,9.3,True
RQ-0022,RPT-003,ENG-023,2024-01-25,70.0,85.0,2.5,True
RQ-0023,RPT-017,ENG-022,2024-04-23,70.3,89.6,10.0,True
RQ-0024,RPT-005,ENG-016,2024-01-19,76.4,76.9,9.9,True
RQ-0025,RPT-011,ENG-012,2024-03-17,93.1,97.0,3.1,True
RQ-0026,RPT-005,ENG-003,2024-05-15,72.4,81.0,9.0,False
RQ-0027,RPT-007,ENG-021,2024-02-08,95.8,87.9,5.9,True
RQ-0028,RPT-003,ENG-004,2024-02-05,91.1,87.4,5.2,True
RQ-0029,RPT-011,ENG-005,2024-03-04,77.8,76.8,7.1,False
RQ-0030,RPT-010,ENG-025,2024-06-25,70.8,92.8,10.6,True
RQ-0031,RPT-017,ENG-020,2024-05-10,75.3,83.2,8.1,True
