reading_id,facility_id,timestamp,parameter,value,regulatory_limit,exceedance_flag
ENV-0001,FAC-007,2024-04-01T17:01:21Z,CO_ppm,135.45,189.02,False
ENV-0002,FAC-008,2024-03-17T03:55:59Z,CO_ppm,151.77,441.71,False
ENV-0003,FAC-005,2024-02-14T05:20:31Z,PM2.5_ug_m3,243.27,595.39,False
ENV-0004,FAC-007,2024-03-25T11:44:53Z,CO_ppm,243.68,568.16,False
ENV-0005,FAC-006,2024-01-21T14:02:57Z,NOx_ppm,476.48,1149.29,False
ENV-0006,FAC-005,2024-01-28T11:20:03Z,PM2.5_ug_m3,259.39,515.79,False
ENV-0007,FAC-004,2024-03-21T20:18:36Z,oil_in_water_mg_L,6.49,10.49,False
ENV-0008,FAC-003,2024-03-06T17:53:58Z,H2S_ppm,342.03,635.49,False
ENV-0009,FAC-002,2024-04-26T08:04:55Z,CO_ppm,264.82,445.48,False
ENV-0010,FAC-006,2024-06-05T17:28:18Z,CO_ppm,184.79,543.44,False
ENV-0011,FAC-002,2024-01-04T10:32:00Z,oil_in_water_mg_L,185.01,276.08,False
ENV-0012,FAC-006,2024-05-13T15:37:32Z,PM2.5_ug_m3,455.07,1276.52,False
ENV-0013,FAC-008,2024-06-01T18:46:56Z,H2S_ppm,277.5,597.86,False
ENV-0014,FAC-006,2024-05-15T14:27:05Z,PM2.5_ug_m3,450.93,1321.65,False
ENV-0015,FAC-004,2024-05-17T12:00:28Z,PM2.5_ug_m3,406.66,609.26,False
ENV-0016,FAC-008,2024-06-21T22:17:48Z,SO2_ppm,156.74,432.83,False
ENV-0017,FAC-007,2024-05-25T16:08:58Z,CO_ppm,311.81,362.52,False
ENV-0018,FAC-008,2024-03-30T20:17:17Z,H2S_ppm,33.47,59.55,False
ENV-0019,FAC-004,2024-06-02T15:38:21Z,H2S_ppm,355.96,614.94,False
ENV-0020,FAC-001,2024-04-01T23:49:14Z,PM2.5_ug_m3,111.67,112.35,False
