event_id,facility_id,timestamp,event_type,severity,zone,personnel_count
HSE-0001,FAC-007,2024-06-08T18:53:13Z,man_down,low,exclusion_zone,7
HSE-0002,FAC-003,2024-04-10T15:06:22Z,near_miss,critical,exclusion_zone,4
HSE-0003,FAC-002,2024-02-14T09:33:47Z,near_miss,critical,yellow_zone,3
HSE-0004,FAC-002,2024-02-16T22:38:42Z,vehicle_incident,high,exclusion_zone,24
HSE-0005,FAC-003,2024-03-26T19:58:49Z,near_miss,medium,yellow_zone,24
HSE-0006,FAC-006,2024-01-09T11:55:35Z,near_miss,medium,red_zone,9
HSE-0007,FAC-003,2024-03-08T23:39:52Z,medical_emergency,medium,green_zone,13
HSE-0008,FAC-007,2024-01-30T17:29:10Z,spill,low,yellow_zone,6
HSE-0009,FAC-004,2024-03-06T05:21:16Z,medical_emergency,low,exclusion_zone,3
HSE-0010,FAC-004,2024-04-26T19:56:20Z,spill,medium,yellow_zone,18
HSE-0011,FAC-006,2024-01-12T00:18:08Z,gas_detection,low,exclusion_zone,17
HSE-0012,FAC-001,2024-04-30T02:49:14Z,fire_alarm,high,red_zone,2
HSE-0013,FAC-003,2024-06-24T01:23:09Z,gas_detection,medium,green_zone,13
HSE-0014,FAC-001,2024-04-19T06:25:35Z,near_miss,critical,green_zone,8
HSE-0015,FAC-001,2024-04-19T10:44:49Z,gas_detection,low,exclusion_zone,19
HSE-0016,FAC-007,2024-02-24T20:23:54Z,vehicle_incident,critical,yellow_zone,22
HSE-0017,FAC-008,2024-04-28T22:57:45Z,spill,high,exclusion_zone,16
HSE-0018,FAC-003,2024-03-29T04:50:00Z,dropped_object,medium,yellow_zone,10
HSE-0019,FAC-003,2024-03-16T10:18:59Z,spill,medium,red_zone,24
HSE-0020,FAC-001,2024-03-24T20:02:17Z,spill,medium,green_zone,15
HSE-0021,FAC-007,2024-05-18T00:02:09Z,man_down,critical,yellow_zone,21
HSE-0022,FAC-006,2024-02-10T09:49:14Z,vehicle_incident,critical,exclusion_zone,15
HSE-0023,FAC-008,2024-03-27T04:41:26Z,vehicle_incident,critical,red_zone,11
HSE-0024,FAC-006,2024-05-09T04:51:53Z,vehicle_incident,medium,yellow_zone,8
HSE-0025,FAC-004,2024-05-18T08:54:34Z,man_down,medium,red_zone,15
HSE-0026,FAC-007,2024-03-13T18:46:19Z,spill,medium,exclusion_zone,5
HSE-0027,FAC-008,2024-01-22T02:20:47Z,medical_emergency,high,exclusion_zone,2
HSE-0028,FAC-004,2024-02-12T04:07:24Z,dropped_object,medium,exclusion_zone,17
HSE-0029,FAC-007,2024-02-05T00:19:47Z,medical_emergency,low,yellow_zone,13
HSE-0030,FAC-003,2024-02-23T01:45:48Z,fire_alarm,critical,yellow_zone,5
HSE-0031,FAC-007,2024-03-02T10:57:12Z,medical_emergency,medium,yellow_zone,25
HSE-0032,FAC-008,2024-03-02T09:40:00Z,near_miss,low,green_zone,3
HSE-0033,FAC-001,2024-01-02T16:23:56Z,near_miss,high,green_zone,11
HSE-0034,FAC-006,2024-02-09T10:04:53Z,fire_alarm,medium,red_zone,3
HSE-0035,FAC-006,2024-05-01T00:28:12Z,dropped_object,critical,exclusion_zone,11
HSE-0036,FAC-003,2024-02-26T06:17:28Z,spill,low,yellow_zone,5
HSE-0037,FAC-003,2024-03-21T14:54:23Z,gas_detection,critical,yellow_zone,18
HSE-0038,FAC-008,2024-05-15T21:35:46Z,spill,medium,green_zone,22
HSE-0039,FAC-003,2024-06-25T13:06:30Z,medical_emergency,low,green_zone,5
HSE-0040,FAC-007,2024-04-01T19:28:07Z,vehicle_incident,critical,yellow_zone,25
HSE-0041,FAC-001,2024-04-23T19:46:30Z,dropped_object,critical,yellow_zone,15
HSE-0042,FAC-001,2024-04-05T11:48:01Z,dropped_object,high,green_zone,12
HSE-0043,FAC-002,2024-02-04T09:58:37Z,fire_alarm,high,exclusion_zone,5
HSE-0044,FAC-002,2024-06-02T14:10:33Z,man_down,high,red_zone,23
HSE-0045,FAC-002,2024-03-09T21:04:37Z,medical_emergency,low,exclusion_zone,6
HSE-0046,FAC-006,2024-06-14T07:07:32Z,spill,medium,red_zone,17
HSE-0047,FAC-001,2024-04-05T01:44:36Z,dropped_object,medium,green_zone,21
HSE-0048,FAC-004,2024-05-16T00:38:09Z,spill,high,exclusion_zone,14
HSE-0049,FAC-006,2024-01-08T20:32:14Z,spill,critical,green_zone,11
HSE-0050,FAC-001,2024-01-26T08:52:20Z,near_miss,low,red_zone,13
HSE-0051,FAC-004,2024-06-24T15:26:16Z,medical_emergency,critical,exclusion_zone,2
HSE-0052,FAC-005,2024-05-15T07:35:05Z,vehicle_incident,high,red_zone,17
HSE-0053,FAC-007,2024-03-20T01:39:59Z,dropped_object,medium,red_zone,24
HSE-0054,FAC-005,2024-04-17T06:17:23Z,man_down,critical,red_zone,9
HSE-0055,FAC-002,2024-06-26T08:33:13Z,medical_emergency,low,red_zone,17
HSE-0056,FAC-002,2024-01-05T11:13:21Z,fire_alarm,low,yellow_zone,3
HSE-0057,FAC-003,2024-03-13T12:06:56Z,gas_detection,medium,yellow_zone,25
HSE-0058,FAC-002,2024-06-16T17:05:20Z,gas_detection,low,green_zone,24
HSE-0059,FAC-006,2024-06-17T23:14:15Z,gas_detection,medium,exclusion_zone,21
HSE-0060,FAC-006,2024-06-01T15:38:20Z,gas_detection,low,green_zone,23
HSE-0061,FAC-003,2024-02-08T17:50:12Z,gas_detection,medium,green_zone,23
HSE-0062,FAC-002,2024-01-01T17:54:03Z,vehicle_incident,medium,yellow_zone,2
HSE-0063,FAC-002,2024-03-16T03:05:20Z,dropped_object,medium,exclusion_zone,7
HSE-0064,FAC-008,2024-04-27T13:38:16Z,fire_alarm,critical,red_zone,24
