reading_id,well_id,timestamp,pressure_psi,temp_f,flow_bpd,gas_rate_mcfd
WT-0001,WELL-019,2024-02-28T00:46:05Z,4677.9,231.7,1562.0,1645.9
WT-0002,WELL-018,2024-05-28T02:50:44Z,5353.4,230.3,2869.7,3451.0
WT-0003,WELL-005,2024-05-29T22:15:00Z,6205.3,315.1,2462.4,3697.9
WT-0004,WELL-012,2024-06-24T18:05:16Z,6227.1,281.8,791.1,1613.1
WT-0005,WELL-008,2024-03-30T11:30:03Z,3025.2,133.7,3401.5,1302.5
WT-0006,WELL-020,2024-05-25T04:18:10Z,7474.9,117.9,2265.7,2142.4
WT-0007,WELL-016,2024-06-03T23:24:05Z,574.6,222.7,3199.8,2566.2
WT-0008,WELL-001,2024-04-19T20:25:15Z,3610.2,88.7,1789.5,3993.4
WT-0009,WELL-018,2024-04-05T12:55:49Z,2404.6,170.1,281.5,387.0
WT-0010,WELL-003,2024-04-18T09:49:22Z,6288.6,223.6,2805.1,4233.0
WT-0011,WELL-003,2024-04-21T10:41:07Z,7395.5,244.7,3475.7,3762.0
WT-0012,WELL-014,2024-06-07T19:01:05Z,2359.5,201.8,3087.9,3697.3
WT-0013,WELL-011,2024-01-15T04:19:29Z,1617.1,235.3,1616.5,3907.8
WT-0014,WELL-014,2024-06-21T16:53:25Z,367.6,235.2,71.9,4142.8
WT-0015,WELL-001,2024-01-02T15:47:22Z,1956.8,195.3,943.0,1122.2
WT-0016,WELL-011,2024-04-13T08:59:50Z,3770.5,259.7,2706.3,2876.4
WT-0017,WELL-012,2024-06-22T10:48:59Z,7066.4,314.2,576.5,3867.2
WT-0018,WELL-007,2024-02-29T21:37:43Z,1616.4,87.1,2126.6,4225.0
WT-0019,WELL-005,2024-04-14T20:56:15Z,2918.5,98.7,3053.4,4643.0
WT-0020,WELL-007,2024-02-09T03:59:48Z,2562.9,194.6,985.2,4682.1
WT-0021,WELL-007,2024-05-29T23:23:24Z,2971.7,117.1,3151.1,2203.8
WT-0022,WELL-013,2024-01-05T22:29:02Z,3662.8,280.9,2602.7,1908.3
WT-0023,WELL-015,2024-03-26T03:46:35Z,3313.6,135.5,1362.7,4074.4
WT-0024,WELL-003,2024-02-04T00:00:36Z,4152.3,236.1,1831.9,822.8
WT-0025,WELL-007,2024-01-24T08:54:37Z,7537.4,280.0,1286.4,4976.8
WT-0026,WELL-014,2024-02-07T02:02:11Z,1840.6,104.5,1798.8,2395.1
WT-0027,WELL-017,2024-01-22T17:55:19Z,7570.2,84.4,1361.1,2105.9
WT-0028,WELL-004,2024-03-09T20:56:01Z,3011.1,163.7,275.3,4730.2
WT-0029,WELL-010,2024-02-14T12:53:22Z,7997.7,102.8,2270.4,1954.5
WT-0030,WELL-016,2024-01-04T01:51:59Z,7620.2,154.2,2283.4,1623.1
WT-0031,WELL-005,2024-06-13T13:14:21Z,2142.2,232.4,491.4,787.2
WT-0032,WELL-016,2024-05-28T00:31:07Z,504.1,241.0,773.9,3701.8
WT-0033,WELL-010,2024-03-13T04:15:58Z,5016.9,302.3,1496.4,881.4
WT-0034,WELL-017,2024-01-30T09:29:03Z,5987.3,298.8,676.6,4396.6
WT-0035,WELL-004,2024-06-01T17:37:13Z,1466.5,214.3,1105.9,3130.3
WT-0036,WELL-009,2024-04-30T18:19:38Z,2704.4,291.5,1194.0,4445.2
WT-0037,WELL-002,2024-05-22T17:07:08Z,7001.8,326.7,210.4,1891.4
WT-0038,WELL-020,2024-05-20T07:11:59Z,4296.6,122.7,101.5,4487.0
WT-0039,WELL-003,2024-03-22T12:47:45Z,7907.9,110.4,1691.1,4917.0
WT-0040,WELL-018,2024-03-26T12:29:11Z,1248.4,242.9,2247.2,1564.0
WT-0041,WELL-016,2024-06-23T16:12:07Z,7242.5,114.6,2314.5,1834.3
WT-0042,WELL-020,2024-05-09T19:07:07Z,5787.3,209.0,2633.1,4261.3
WT-0043,WELL-007,2024-01-25T10:25:27Z,1910.6,115.0,3300.9,1135.5
WT-0044,WELL-003,2024-05-24T07:29:39Z,939.4,189.0,3109.9,535.1
WT-0045,WELL-008,2024-02-18T16:12:36Z,1640.1,258.0,1183.8,4870.0
WT-0046,WELL-019,2024-04-10T22:59:18Z,4231.9,346.7,970.2,4498.7
WT-0047,WELL-011,2024-03-22T22:45:36Z,3123.2,119.2,2590.6,4255.2
WT-0048,WELL-013,2024-05-02T16:46:31Z,574.5,133.4,678.5,723.3
WT-0049,WELL-002,2024-06-11T05:08:55Z,6399.2,123.7,1162.7,2864.7
WT-0050,WELL-016,2024-06-15T13:04:50Z,2882.4,249.8,2868.6,2890.2
WT-0051,WELL-015,2024-02-11T17:12:33Z,3734.9,151.0,1567.5,3727.4
WT-0052,WELL-017,2024-06-28T09:37:08Z,2831.3,349.1,692.8,1711.5
WT-0053,WELL-016,2024-05-29T21:49:01Z,4481.4,259.1,2354.6,1718.5
WT-0054,WELL-017,2024-02-21T01:01:55Z,692.3,178.7,2265.9,4824.1
WT-0055,WELL-005,2024-01-19T08:47:28Z,1971.6,203.5,433.4,2756.8
WT-0056,WELL-010,2024-01-25T12:35:49Z,7011.8,162.9,1554.8,4921.7
WT-0057,WELL-003,2024-06-17T08:21:40Z,7779.1,129.3,2879.1,4429.3
WT-0058,WELL-017,2024-02-07T20:11:50Z,1305.3,263.8,2726.9,1001.4
WT-0059,WELL-012,2024-04-12T01:21:20Z,4887.3,121.0,3016.7,2630.0
WT-0060,WELL-018,2024-03-11T10:06:00Z,4407.8,267.3,3490.3,842.1
WT-0061,WELL-006,2024-01-20T10:40:38Z,5507.1,251.4,3013.3,1139.0
WT-0062,WELL-005,2024-04-15T00:24:40Z,7549.1,244.6,3011.1,1399.3
WT-0063,WELL-013,2024-02-27T13:46:24Z,3240.2,220.9,1503.4,2388.0
WT-0064,WELL-011,2024-01-27T10:21:52Z,5828.1,161.0,308.3,3544.6
WT-0065,WELL-010,2024-02-10T12:52:04Z,7399.8,245.5,3359.5,305.5
WT-0066,WELL-014,2024-01-28T05:51:38Z,1321.6,302.1,2687.8,4036.9
WT-0067,WELL-008,2024-03-16T23:18:08Z,6333.2,254.4,1398.9,974.9
WT-0068,WELL-012,2024-01-14T16:42:04Z,1965.2,336.2,534.5,2013.2
WT-0069,WELL-019,2024-05-10T13:13:32Z,1384.4,199.7,2369.2,3805.3
WT-0070,WELL-001,2024-05-03T15:30:03Z,1114.9,164.0,404.0,3146.4
WT-0071,WELL-016,2024-02-15T02:02:33Z,5351.3,160.7,480.8,3717.1
WT-0072,WELL-015,2024-01-30T20:11:05Z,749.1,344.3,3191.2,1713.5
WT-0073,WELL-009,2024-01-08T22:56:29Z,3175.7,320.6,439.3,2338.0
WT-0074,WELL-019,2024-02-02T17:03:42Z,7034.7,266.7,2790.9,3794.7
WT-0075,WELL-008,2024-04-11T12:36:28Z,1003.8,349.4,2131.4,2999.2
WT-0076,WELL-012,2024-02-16T20:30:17Z,6981.0,259.5,2936.6,4816.6
WT-0077,WELL-014,2024-01-12T00:01:11Z,5176.9,313.6,1016.7,3623.0
WT-0078,WELL-009,2024-06-24T16:21:13Z,2163.0,217.1,1497.8,4183.1
WT-0079,WELL-012,2024-01-17T03:14:35Z,300.8,272.5,1725.1,2933.1
WT-0080,WELL-008,2024-04-24T18:39:11Z,3583.4,151.8,3490.7,4133.0
