presence_id,associate_id,store_id,timestamp,zone,dwell_time_min,is_customer_facing
PRS-00001,ASC-078,STR-029,2025-10-16T22:06:00Z,Sales Floor,11.1,True
PRS-00002,ASC-004,STR-027,2025-12-04T20:25:00Z,Sales Floor,12.7,True
PRS-00003,ASC-052,STR-016,2025-10-24T13:53:00Z,Break Room,24.9,False
PRS-00004,ASC-079,STR-022,2025-11-26T09:27:00Z,Sales Floor,3.9,True
PRS-00005,ASC-019,STR-027,2025-12-24T13:10:00Z,Register,63.6,True
PRS-00006,ASC-026,STR-016,2025-12-01T15:18:00Z,Stockroom,86.4,False
PRS-00007,ASC-064,STR-012,2025-12-25T14:25:00Z,Back Office,72.4,False
PRS-00008,ASC-060,STR-014,2025-11-24T10:01:00Z,Sales Floor,12.6,True
PRS-00009,ASC-050,STR-001,2025-12-14T15:02:00Z,Register,80.6,True
PRS-00010,ASC-080,STR-015,2025-10-06T17:08:00Z,Back Office,65.6,False
PRS-00011,ASC-036,STR-001,2025-10-21T17:32:00Z,Break Room,46.3,False
PRS-00012,ASC-045,STR-029,2025-12-30T22:24:00Z,Register,17.4,True
PRS-00013,ASC-020,STR-012,2025-12-23T16:29:00Z,Stockroom,71.2,False
PRS-00014,ASC-036,STR-026,2025-12-24T15:59:00Z,Back Office,82.6,False
PRS-00015,ASC-062,STR-013,2025-11-30T11:36:00Z,Stockroom,46.6,False
PRS-00016,ASC-068,STR-009,2025-10-17T16:37:00Z,Customer Service Desk,32.6,True
PRS-00017,ASC-080,STR-027,2025-11-21T08:02:00Z,Sales Floor,66.5,True
PRS-00018,ASC-030,STR-004,2025-12-25T09:31:00Z,Fitting Room,43.9,True
PRS-00019,ASC-030,STR-025,2025-10-31T09:57:00Z,Break Room,66.1,False
PRS-00020,ASC-050,STR-025,2025-11-23T08:03:00Z,Register,12.1,True
PRS-00021,ASC-010,STR-015,2025-11-17T06:59:00Z,Sales Floor,11.5,True
PRS-00022,ASC-058,STR-013,2025-10-18T12:12:00Z,Sales Floor,40.5,True
PRS-00023,ASC-037,STR-008,2025-10-26T11:27:00Z,Receiving,73.2,False
PRS-00024,ASC-025,STR-003,2025-12-14T06:40:00Z,Customer Service Desk,10.5,True
PRS-00025,ASC-005,STR-026,2025-10-18T06:23:00Z,Receiving,52.0,False
PRS-00026,ASC-010,STR-011,2025-10-24T22:31:00Z,Sales Floor,20.3,True
PRS-00027,ASC-061,STR-017,2025-11-15T17:39:00Z,Break Room,77.1,False
PRS-00028,ASC-009,STR-015,2025-11-24T18:55:00Z,Sales Floor,8.9,True
PRS-00029,ASC-067,STR-010,2025-10-13T09:31:00Z,Sales Floor,54.9,True
PRS-00030,ASC-043,STR-001,2025-10-29T15:59:00Z,Break Room,36.4,False
PRS-00031,ASC-046,STR-003,2025-10-21T15:04:00Z,Register,23.2,True
PRS-00032,ASC-067,STR-030,2025-12-18T22:19:00Z,Back Office,7.0,False
PRS-00033,ASC-015,STR-019,2025-11-30T14:41:00Z,Sales Floor,31.7,True
PRS-00034,ASC-034,STR-007,2025-11-12T07:08:00Z,Sales Floor,73.9,True
PRS-00035,ASC-043,STR-030,2025-12-24T07:15:00Z,Back Office,72.9,False
PRS-00036,ASC-073,STR-029,2025-12-18T07:22:00Z,Customer Service Desk,85.6,True
PRS-00037,ASC-077,STR-024,2025-12-18T08:56:00Z,Register,85.3,True
PRS-00038,ASC-035,STR-024,2025-10-06T09:02:00Z,Back Office,21.8,False
PRS-00039,ASC-045,STR-014,2025-12-01T15:50:00Z,Break Room,87.5,False
PRS-00040,ASC-003,STR-030,2025-10-08T06:49:00Z,Receiving,19.3,False
PRS-00041,ASC-078,STR-028,2025-11-18T06:35:00Z,Back Office,36.1,False
PRS-00042,ASC-049,STR-023,2025-10-17T19:44:00Z,Back Office,14.1,False
PRS-00043,ASC-057,STR-004,2025-12-18T17:22:00Z,Sales Floor,40.4,True
PRS-00044,ASC-008,STR-008,2025-10-30T08:37:00Z,Sales Floor,38.3,True
PRS-00045,ASC-069,STR-019,2025-10-06T06:55:00Z,Stockroom,73.5,False
PRS-00046,ASC-010,STR-002,2025-10-17T20:11:00Z,Sales Floor,29.6,True
PRS-00047,ASC-078,STR-021,2025-11-01T15:08:00Z,Register,44.1,True
PRS-00048,ASC-016,STR-022,2025-10-10T08:16:00Z,Fitting Room,20.1,True
PRS-00049,ASC-046,STR-029,2025-10-29T20:45:00Z,Sales Floor,34.3,True
PRS-00050,ASC-071,STR-010,2025-12-23T13:33:00Z,Break Room,30.1,False
PRS-00051,ASC-070,STR-017,2025-10-14T07:22:00Z,Fitting Room,64.1,True
PRS-00052,ASC-080,STR-016,2025-11-05T08:13:00Z,Fitting Room,76.0,True
PRS-00053,ASC-067,STR-008,2025-11-09T12:07:00Z,Back Office,73.8,False
PRS-00054,ASC-019,STR-002,2025-10-31T20:41:00Z,Stockroom,85.9,False
PRS-00055,ASC-003,STR-016,2025-10-05T14:17:00Z,Register,28.4,True
PRS-00056,ASC-011,STR-002,2025-11-05T18:31:00Z,Sales Floor,35.7,True
