quality_id,store_id,audit_type,category_id,date,planogram_compliance_pct,inventory_accuracy_pct,safety_checklist_complete
AQ-0001,STR-013,Receiving,,2025-10-24,,,
AQ-0002,STR-030,Safety,,2025-10-05,,,True
AQ-0003,STR-010,Promotional,,2025-12-17,,,
AQ-0004,STR-004,Safety,,2025-11-06,,,False
AQ-0005,STR-021,Promotional,,2025-12-07,,,
AQ-0006,STR-016,Inventory,CAT-004,2025-12-04,,91.8,
AQ-0007,STR-026,Planogram,CAT-008,2025-11-12,66.5,,
AQ-0008,STR-021,Safety,,2025-12-31,,,True
AQ-0009,STR-001,Safety,,2025-11-07,,,True
AQ-0010,STR-006,Promotional,,2025-12-21,,,
AQ-0011,STR-029,Receiving,,2025-11-24,,,
AQ-0012,STR-017,Safety,,2025-10-12,,,False
AQ-0013,STR-022,Planogram,CAT-008,2025-10-24,99.3,,
AQ-0014,STR-011,Inventory,CAT-004,2025-10-01,,88.8,
AQ-0015,STR-015,Safety,,2025-11-12,,,True
AQ-0016,STR-019,Promotional,,2025-10-02,,,
AQ-0017,STR-009,Safety,,2025-12-28,,,True
AQ-0018,STR-002,Planogram,CAT-007,2025-11-29,72.3,,
AQ-0019,STR-022,Promotional,,2025-12-30,,,
AQ-0020,STR-025,Safety,,2025-12-28,,,True
AQ-0021,STR-021,Safety,,2025-11-17,,,True
AQ-0022,STR-008,Inventory,CAT-012,2025-12-01,,87.2,
AQ-0023,STR-020,Safety,,2025-11-23,,,False
AQ-0024,STR-025,Promotional,,2025-12-25,,,
AQ-0025,STR-027,Inventory,CAT-010,2025-11-01,,94.9,
AQ-0026,STR-028,Planogram,CAT-012,2025-12-07,77.9,,
AQ-0027,STR-012,Planogram,CAT-014,2025-12-12,64.5,,
AQ-0028,STR-018,Promotional,,2025-10-26,,,
AQ-0029,STR-019,Promotional,,2025-10-20,,,
AQ-0030,STR-006,Safety,,2025-12-06,,,False
AQ-0031,STR-004,Inventory,CAT-002,2025-12-31,,93.5,
AQ-0032,STR-029,Promotional,,2025-11-27,,,
AQ-0033,STR-026,Planogram,CAT-007,2025-11-28,65.3,,
AQ-0034,STR-015,Promotional,,2025-10-08,,,
AQ-0035,STR-018,Receiving,,2025-12-26,,,
AQ-0036,STR-026,Safety,,2025-10-03,,,False
AQ-0037,STR-009,Planogram,CAT-001,2025-10-28,83.1,,
AQ-0038,STR-014,Safety,,2025-12-29,,,True
AQ-0039,STR-018,Planogram,CAT-008,2025-10-09,99.4,,
AQ-0040,STR-002,Safety,,2025-11-22,,,True
AQ-0041,STR-025,Inventory,CAT-011,2025-12-22,,99.2,
AQ-0042,STR-014,Safety,,2025-11-18,,,False
AQ-0043,STR-028,Receiving,,2025-11-18,,,
AQ-0044,STR-003,Promotional,,2025-10-18,,,
AQ-0045,STR-021,Safety,,2025-10-16,,,True
AQ-0046,STR-018,Receiving,,2025-12-07,,,
AQ-0047,STR-005,Inventory,CAT-005,2025-10-01,,96.0,
AQ-0048,STR-015,Promotional,,2025-11-24,,,
AQ-0049,STR-018,Receiving,,2025-10-30,,,
AQ-0050,STR-008,Receiving,,2025-11-14,,,
AQ-0051,STR-005,Safety,,2025-10-25,,,True
AQ-0052,STR-002,Receiving,,2025-12-18,,,
AQ-0053,STR-025,Planogram,CAT-002,2025-10-31,68.2,,
AQ-0054,STR-020,Planogram,CAT-012,2025-11-27,83.9,,
AQ-0055,STR-028,Planogram,CAT-007,2025-11-01,89.6,,
AQ-0056,STR-015,Inventory,CAT-014,2025-12-09,,88.2,
AQ-0057,STR-025,Planogram,CAT-005,2025-10-18,80.2,,
AQ-0058,STR-008,Promotional,,2025-11-10,,,
AQ-0059,STR-019,Promotional,,2025-12-26,,,
AQ-0060,STR-027,Safety,,2025-10-31,,,True
