event_id,manager_id,store_id,report_type_id,start_time,duration_minutes,status,overdue_flag
CDE-0001,MGR-019,STR-003,RPT-003,2025-12-02T07:48:00Z,44,in_progress,False
CDE-0002,MGR-016,STR-018,RPT-006,2025-11-03T14:55:00Z,48,completed,False
CDE-0003,MGR-018,STR-025,RPT-007,2025-12-31T10:25:00Z,52,completed,False
CDE-0004,MGR-017,STR-015,RPT-004,2025-11-01T09:04:00Z,31,completed,False
CDE-0005,MGR-019,STR-008,RPT-001,2025-10-10T17:40:00Z,13,completed,False
CDE-0006,MGR-011,STR-003,RPT-017,2025-10-31T10:42:00Z,41,completed,False
CDE-0007,MGR-019,STR-019,RPT-016,2025-11-01T18:30:00Z,36,completed,True
CDE-0008,MGR-014,STR-012,RPT-014,2025-11-22T13:55:00Z,56,completed,False
CDE-0009,MGR-021,STR-004,RPT-002,2025-11-21T17:21:00Z,16,completed,False
CDE-0010,MGR-015,STR-005,RPT-014,2025-10-24T10:29:00Z,25,in_progress,True
CDE-0011,MGR-018,STR-004,RPT-002,2025-12-23T14:53:00Z,10,overdue,True
CDE-0012,MGR-025,STR-028,RPT-008,2025-10-22T12:31:00Z,40,completed,False
CDE-0013,MGR-002,STR-006,RPT-013,2025-10-01T12:16:00Z,60,in_progress,False
CDE-0014,MGR-023,STR-024,RPT-018,2025-12-24T17:31:00Z,19,completed,False
CDE-0015,MGR-002,STR-019,RPT-018,2025-10-08T17:20:00Z,13,completed,False
CDE-0016,MGR-017,STR-006,RPT-002,2025-12-05T07:54:00Z,21,completed,True
CDE-0017,MGR-008,STR-013,RPT-004,2025-12-12T09:37:00Z,48,completed,True
CDE-0018,MGR-022,STR-019,RPT-017,2025-11-10T10:13:00Z,52,completed,False
CDE-0019,MGR-013,STR-005,RPT-010,2025-11-28T11:59:00Z,58,overdue,True
CDE-0020,MGR-001,STR-015,RPT-004,2025-10-10T14:13:00Z,42,completed,False
CDE-0021,MGR-003,STR-029,RPT-008,2025-11-17T10:10:00Z,58,in_progress,False
CDE-0022,MGR-020,STR-026,RPT-017,2025-10-02T16:52:00Z,45,completed,False
CDE-0023,MGR-005,STR-009,RPT-004,2025-10-14T17:35:00Z,19,completed,False
CDE-0024,MGR-023,STR-011,RPT-007,2025-12-27T16:54:00Z,26,completed,False
CDE-0025,MGR-002,STR-003,RPT-014,2025-11-05T06:00:00Z,31,in_progress,False
CDE-0026,MGR-009,STR-006,RPT-015,2025-12-10T17:27:00Z,5,completed,False
CDE-0027,MGR-023,STR-029,RPT-005,2025-12-09T06:53:00Z,33,completed,False
CDE-0028,MGR-005,STR-002,RPT-010,2025-11-16T18:55:00Z,12,in_progress,False
CDE-0029,MGR-008,STR-022,RPT-004,2025-11-15T18:35:00Z,36,overdue,True
CDE-0030,MGR-024,STR-005,RPT-008,2025-10-21T18:51:00Z,21,in_progress,True
CDE-0031,MGR-024,STR-030,RPT-011,2025-11-22T18:42:00Z,57,in_progress,False
CDE-0032,MGR-023,STR-004,RPT-013,2025-10-05T13:14:00Z,22,in_progress,False
CDE-0033,MGR-010,STR-027,RPT-008,2025-10-29T06:42:00Z,22,completed,False
