survey_id,store_id,date,nps_score,mystery_shopper_score,wait_time_rating,staff_helpfulness
CSAT-0001,STR-001,2025-10-19,77,81.5,6.7,6.8
CSAT-0002,STR-002,2025-12-11,72,89.4,8.2,7.9
CSAT-0003,STR-003,2025-11-24,40,60.6,4.5,5.5
CSAT-0004,STR-004,2025-11-18,68,77.0,6.7,6.4
CSAT-0005,STR-005,2025-11-18,46,86.6,6.9,8.5
CSAT-0006,STR-006,2025-11-08,80,73.2,6.9,6.2
CSAT-0007,STR-007,2025-11-22,61,82.3,5.9,6.7
CSAT-0008,STR-008,2025-10-27,56,84.2,8.3,8.5
CSAT-0009,STR-009,2025-10-12,81,90.4,8.6,9.6
CSAT-0010,STR-010,2025-10-06,39,74.1,7.8,8.2
CSAT-0011,STR-011,2025-12-11,48,80.5,8.1,7.0
CSAT-0012,STR-012,2025-10-02,48,90.6,8.4,6.4
CSAT-0013,STR-013,2025-12-01,50,85.3,7.6,7.2
CSAT-0014,STR-014,2025-10-31,70,77.1,6.3,7.4
CSAT-0015,STR-015,2025-12-23,57,76.8,6.6,8.6
CSAT-0016,STR-016,2025-11-29,41,87.7,7.7,8.3
CSAT-0017,STR-017,2025-11-10,48,78.2,6.7,7.7
CSAT-0018,STR-018,2025-10-29,44,70.4,7.2,7.8
CSAT-0019,STR-019,2025-11-23,53,73.4,6.5,7.1
CSAT-0020,STR-020,2025-11-01,66,82.1,8.3,7.0
CSAT-0021,STR-021,2025-12-02,76,86.3,6.9,8.2
CSAT-0022,STR-022,2025-11-15,45,73.1,7.1,6.6
CSAT-0023,STR-023,2025-12-09,76,91.1,7.1,8.5
CSAT-0024,STR-024,2025-10-10,77,71.1,5.5,6.4
CSAT-0025,STR-025,2025-12-20,49,71.5,6.0,6.7
CSAT-0026,STR-026,2025-11-28,58,71.3,7.4,8.8
CSAT-0027,STR-027,2025-12-01,77,80.7,5.5,7.7
CSAT-0028,STR-028,2025-10-02,36,81.6,6.3,8.9
CSAT-0029,STR-029,2025-10-03,67,87.9,7.5,8.4
CSAT-0030,STR-030,2025-10-23,41,90.2,7.1,6.7
