audit_id,store_id,manager_id,category_id,date,unit_count,variance_pct,doc_time_min,scan_count
AUD-0001,STR-005,MGR-012,CAT-005,2025-12-23,1480,-0.35,14,354
AUD-0002,STR-023,MGR-003,CAT-005,2025-12-11,821,-0.43,40,466
AUD-0003,STR-005,MGR-022,CAT-012,2025-12-27,1918,-0.89,30,393
AUD-0004,STR-014,MGR-017,CAT-006,2025-10-03,792,-1.76,16,224
AUD-0005,STR-025,MGR-016,CAT-004,2025-10-29,331,-2.38,19,482
AUD-0006,STR-026,MGR-004,CAT-009,2025-12-09,1760,-0.05,26,69
AUD-0007,STR-022,MGR-011,CAT-015,2025-12-19,318,-0.61,14,133
AUD-0008,STR-006,MGR-023,CAT-013,2025-12-19,1706,0.61,33,274
AUD-0009,STR-002,MGR-014,CAT-006,2025-12-26,1523,-2.05,24,362
AUD-0010,STR-010,MGR-025,CAT-012,2025-11-27,529,-0.86,19,464
AUD-0011,STR-026,MGR-016,CAT-015,2025-10-25,803,-0.29,28,275
AUD-0012,STR-015,MGR-025,CAT-005,2025-11-18,1079,-0.89,15,468
AUD-0013,STR-007,MGR-020,CAT-003,2025-11-02,156,-3.19,21,333
AUD-0014,STR-030,MGR-004,CAT-012,2025-12-06,1793,-2.5,12,440
AUD-0015,STR-006,MGR-009,CAT-008,2025-12-05,351,0.32,12,163
AUD-0016,STR-027,MGR-015,CAT-015,2025-11-14,1955,-2.89,11,252
AUD-0017,STR-017,MGR-012,CAT-004,2025-11-19,217,-1.5,10,213
AUD-0018,STR-030,MGR-004,CAT-014,2025-12-31,1381,-5.49,14,120
AUD-0019,STR-002,MGR-010,CAT-015,2025-11-30,1475,0.32,34,411
AUD-0020,STR-016,MGR-015,CAT-010,2025-10-01,1905,-2.68,18,160
AUD-0021,STR-027,MGR-005,CAT-009,2025-12-17,1130,-1.31,34,197
AUD-0022,STR-008,MGR-010,CAT-002,2025-10-07,538,-4.85,35,368
AUD-0023,STR-015,MGR-003,CAT-002,2025-12-03,1272,-3.98,50,313
AUD-0024,STR-019,MGR-008,CAT-012,2025-10-19,646,-1.28,29,230
AUD-0025,STR-008,MGR-019,CAT-007,2025-10-24,1410,-2.99,26,234
AUD-0026,STR-003,MGR-017,CAT-009,2025-12-04,1660,0.95,27,60
AUD-0027,STR-013,MGR-016,CAT-001,2025-12-21,842,-0.64,18,432
AUD-0028,STR-001,MGR-012,CAT-013,2025-10-09,756,-2.04,31,371
AUD-0029,STR-004,MGR-025,CAT-010,2025-11-12,323,-2.82,27,223
AUD-0030,STR-027,MGR-021,CAT-003,2025-12-27,1001,-0.64,25,373
AUD-0031,STR-006,MGR-005,CAT-002,2025-12-31,1639,-0.92,11,200
AUD-0032,STR-007,MGR-002,CAT-013,2025-10-26,1864,-2.83,19,313
AUD-0033,STR-013,MGR-018,CAT-008,2025-11-02,124,0.01,16,196
AUD-0034,STR-012,MGR-025,CAT-001,2025-12-23,729,-5.95,35,238
AUD-0035,STR-014,MGR-013,CAT-012,2025-11-26,1882,0.83,20,145
AUD-0036,STR-016,MGR-023,CAT-008,2025-11-17,1942,0.19,18,460
AUD-0037,STR-003,MGR-024,CAT-007,2025-10-11,931,-3.48,15,329
AUD-0038,STR-010,MGR-011,CAT-002,2025-10-11,721,-3.04,19,278
AUD-0039,STR-020,MGR-023,CAT-007,2025-10-22,1462,-4.67,24,71
AUD-0040,STR-024,MGR-012,CAT-010,2025-11-25,612,-0.44,35,79
AUD-0041,STR-003,MGR-022,CAT-011,2025-11-21,794,-0.95,33,397
AUD-0042,STR-006,MGR-001,CAT-003,2025-12-17,1438,-2.14,11,114
AUD-0043,STR-003,MGR-008,CAT-013,2025-12-22,800,-1.55,28,66
AUD-0044,STR-020,MGR-005,CAT-011,2025-11-27,1993,-1.52,24,440
AUD-0045,STR-003,MGR-019,CAT-003,2025-12-07,801,-5.01,30,192
AUD-0046,STR-008,MGR-004,CAT-001,2025-10-24,1072,-4.12,27,110
AUD-0047,STR-009,MGR-025,CAT-005,2025-12-30,963,-2.14,29,196
AUD-0048,STR-023,MGR-016,CAT-004,2025-10-16,327,0.41,24,138
AUD-0049,STR-029,MGR-023,CAT-008,2025-10-12,1709,-0.27,20,391
AUD-0050,STR-012,MGR-023,CAT-002,2025-12-10,1160,-5.82,19,485
AUD-0051,STR-006,MGR-023,CAT-012,2025-12-29,1356,-2.3,21,310
AUD-0052,STR-008,MGR-004,CAT-004,2025-10-18,534,0.16,10,234
