scan_id,store_id,associate_id,timestamp,product_id,location,expected_qty,actual_qty,variance
SCN-00001,STR-006,ASC-050,2025-11-17T08:29:00Z,PRD-35448,Receiving,74,70,-4
SCN-00002,STR-011,ASC-017,2025-10-05T17:36:00Z,PRD-17818,Backroom,39,32,-7
SCN-00003,STR-028,ASC-060,2025-11-28T12:10:00Z,PRD-55033,Endcap,80,75,-5
SCN-00004,STR-026,ASC-079,2025-10-22T15:35:00Z,PRD-40107,Shelf-B,110,115,5
SCN-00005,STR-028,ASC-028,2025-12-15T13:53:00Z,PRD-70655,Backroom,8,11,3
SCN-00006,STR-024,ASC-032,2025-11-01T11:27:00Z,PRD-85951,Endcap,156,150,-6
SCN-00007,STR-030,ASC-074,2025-10-01T12:02:00Z,PRD-15250,Display,192,183,-9
SCN-00008,STR-014,ASC-068,2025-11-20T13:51:00Z,PRD-22844,Display,131,128,-3
SCN-00009,STR-003,ASC-072,2025-10-02T17:46:00Z,PRD-63296,Endcap,38,39,1
SCN-00010,STR-010,ASC-031,2025-12-22T07:01:00Z,PRD-72886,Backroom,46,50,4
SCN-00011,STR-028,ASC-074,2025-12-14T06:29:00Z,PRD-70786,Shelf-C,185,187,2
SCN-00012,STR-006,ASC-048,2025-12-20T13:45:00Z,PRD-93021,Shelf-A,165,157,-8
SCN-00013,STR-013,ASC-043,2025-12-07T06:18:00Z,PRD-65823,Backroom,183,179,-4
SCN-00014,STR-026,ASC-011,2025-12-19T20:21:00Z,PRD-17184,Receiving,18,11,-7
SCN-00015,STR-013,ASC-047,2025-11-29T15:02:00Z,PRD-57916,Receiving,49,41,-8
SCN-00016,STR-018,ASC-027,2025-10-18T11:15:00Z,PRD-80730,Shelf-B,171,176,5
SCN-00017,STR-024,ASC-075,2025-12-29T09:48:00Z,PRD-39548,Receiving,95,93,-2
SCN-00018,STR-017,ASC-055,2025-11-05T06:04:00Z,PRD-58865,Receiving,120,125,5
SCN-00019,STR-017,ASC-068,2025-10-16T13:45:00Z,PRD-79717,Backroom,120,121,1
SCN-00020,STR-026,ASC-009,2025-10-25T20:56:00Z,PRD-70014,Shelf-B,25,27,2
SCN-00021,STR-029,ASC-023,2025-11-06T07:06:00Z,PRD-31596,Backroom,33,27,-6
SCN-00022,STR-016,ASC-020,2025-10-27T14:40:00Z,PRD-12974,Backroom,111,105,-6
SCN-00023,STR-016,ASC-045,2025-11-23T13:47:00Z,PRD-94500,Shelf-A,79,75,-4
SCN-00024,STR-003,ASC-003,2025-10-30T19:33:00Z,PRD-94498,Receiving,110,110,0
SCN-00025,STR-021,ASC-042,2025-12-02T15:42:00Z,PRD-79489,Display,122,121,-1
SCN-00026,STR-019,ASC-017,2025-11-09T08:50:00Z,PRD-44079,Endcap,128,129,1
SCN-00027,STR-010,ASC-007,2025-10-19T11:18:00Z,PRD-69759,Shelf-C,163,158,-5
SCN-00028,STR-023,ASC-069,2025-11-06T08:11:00Z,PRD-97340,Shelf-C,46,43,-3
SCN-00029,STR-004,ASC-006,2025-11-10T15:08:00Z,PRD-67788,Backroom,99,94,-5
SCN-00030,STR-007,ASC-072,2025-12-30T06:42:00Z,PRD-51542,Receiving,42,43,1
SCN-00031,STR-015,ASC-070,2025-10-21T14:19:00Z,PRD-25923,Shelf-A,108,113,5
SCN-00032,STR-025,ASC-019,2025-11-28T20:20:00Z,PRD-30454,Shelf-A,194,194,0
SCN-00033,STR-021,ASC-038,2025-11-30T20:18:00Z,PRD-85199,Shelf-C,149,153,4
SCN-00034,STR-011,ASC-015,2025-12-01T20:02:00Z,PRD-28274,Shelf-B,83,73,-10
SCN-00035,STR-013,ASC-080,2025-10-29T13:22:00Z,PRD-22121,Receiving,19,15,-4
SCN-00036,STR-019,ASC-068,2025-10-29T18:59:00Z,PRD-46428,Endcap,10,2,-8
SCN-00037,STR-018,ASC-058,2025-12-26T16:05:00Z,PRD-77081,Clearance,54,59,5
SCN-00038,STR-011,ASC-078,2025-12-17T14:03:00Z,PRD-97394,Receiving,106,100,-6
SCN-00039,STR-023,ASC-055,2025-11-17T12:23:00Z,PRD-11597,Backroom,93,94,1
SCN-00040,STR-010,ASC-058,2025-12-11T07:13:00Z,PRD-68224,Clearance,118,117,-1
SCN-00041,STR-006,ASC-055,2025-11-23T08:53:00Z,PRD-86962,Shelf-B,41,37,-4
SCN-00042,STR-010,ASC-061,2025-12-07T11:04:00Z,PRD-87421,Clearance,27,17,-10
SCN-00043,STR-014,ASC-035,2025-11-23T08:35:00Z,PRD-70570,Shelf-C,56,51,-5
SCN-00044,STR-027,ASC-049,2025-11-07T14:31:00Z,PRD-15535,Backroom,154,153,-1
SCN-00045,STR-016,ASC-072,2025-11-29T09:01:00Z,PRD-10320,Shelf-C,72,71,-1
SCN-00046,STR-021,ASC-061,2025-10-16T16:42:00Z,PRD-47707,Clearance,50,55,5
SCN-00047,STR-030,ASC-032,2025-10-04T07:48:00Z,PRD-46335,Display,22,23,1
SCN-00048,STR-019,ASC-062,2025-12-12T12:55:00Z,PRD-43804,Display,182,175,-7
SCN-00049,STR-012,ASC-066,2025-12-13T06:54:00Z,PRD-44018,Shelf-C,153,144,-9
SCN-00050,STR-005,ASC-041,2025-11-29T20:44:00Z,PRD-27759,Receiving,46,37,-9
SCN-00051,STR-009,ASC-047,2025-11-23T16:58:00Z,PRD-56659,Shelf-A,79,78,-1
SCN-00052,STR-017,ASC-010,2025-12-05T09:49:00Z,PRD-92317,Shelf-C,200,193,-7
SCN-00053,STR-020,ASC-022,2025-12-09T11:55:00Z,PRD-51446,Backroom,74,75,1
SCN-00054,STR-004,ASC-069,2025-12-14T11:52:00Z,PRD-28837,Shelf-A,40,39,-1
SCN-00055,STR-012,ASC-063,2025-11-22T11:58:00Z,PRD-31368,Shelf-B,60,54,-6
SCN-00056,STR-017,ASC-029,2025-10-25T18:57:00Z,PRD-83224,Shelf-B,111,115,4
SCN-00057,STR-030,ASC-010,2025-10-15T19:08:00Z,PRD-12277,Display,94,93,-1
SCN-00058,STR-023,ASC-047,2025-10-18T19:28:00Z,PRD-88335,Receiving,49,48,-1
SCN-00059,STR-001,ASC-016,2025-10-29T08:54:00Z,PRD-28659,Endcap,83,77,-6
SCN-00060,STR-007,ASC-017,2025-10-11T12:44:00Z,PRD-24643,Shelf-B,9,14,5
SCN-00061,STR-025,ASC-056,2025-10-06T09:06:00Z,PRD-14298,Shelf-A,125,118,-7
SCN-00062,STR-030,ASC-033,2025-10-06T07:19:00Z,PRD-97501,Shelf-A,198,191,-7
SCN-00063,STR-026,ASC-016,2025-12-17T09:37:00Z,PRD-36217,Shelf-C,176,177,1
SCN-00064,STR-001,ASC-012,2025-10-19T19:47:00Z,PRD-46356,Receiving,95,90,-5
SCN-00065,STR-028,ASC-065,2025-12-18T09:32:00Z,PRD-84741,Shelf-B,30,20,-10
SCN-00066,STR-017,ASC-028,2025-12-31T09:18:00Z,PRD-32514,Shelf-A,190,183,-7
SCN-00067,STR-030,ASC-028,2025-12-04T19:45:00Z,PRD-72221,Receiving,183,178,-5
SCN-00068,STR-015,ASC-014,2025-10-24T19:22:00Z,PRD-59756,Clearance,59,56,-3
SCN-00069,STR-014,ASC-015,2025-11-10T07:29:00Z,PRD-24459,Shelf-C,131,132,1
SCN-00070,STR-023,ASC-037,2025-12-11T17:02:00Z,PRD-20780,Receiving,131,124,-7
SCN-00071,STR-013,ASC-037,2025-11-28T15:47:00Z,PRD-50895,Display,62,65,3
SCN-00072,STR-010,ASC-055,2025-10-25T19:04:00Z,PRD-72347,Receiving,50,40,-10
SCN-00073,STR-022,ASC-063,2025-12-26T07:25:00Z,PRD-67417,Shelf-B,35,29,-6
SCN-00074,STR-013,ASC-052,2025-12-28T15:06:00Z,PRD-32114,Shelf-B,98,94,-4
SCN-00075,STR-011,ASC-026,2025-12-16T19:25:00Z,PRD-26090,Endcap,113,118,5
SCN-00076,STR-009,ASC-075,2025-12-15T10:48:00Z,PRD-94388,Clearance,96,101,5
SCN-00077,STR-022,ASC-078,2025-11-21T13:32:00Z,PRD-46554,Shelf-C,121,114,-7
SCN-00078,STR-004,ASC-033,2025-12-02T13:14:00Z,PRD-92361,Shelf-C,12,5,-7
SCN-00079,STR-024,ASC-007,2025-10-09T13:43:00Z,PRD-13506,Shelf-C,102,102,0
SCN-00080,STR-005,ASC-039,2025-12-19T15:06:00Z,PRD-20029,Display,124,120,-4
SCN-00081,STR-010,ASC-064,2025-12-02T14:16:00Z,PRD-81098,Receiving,143,133,-10
SCN-00082,STR-025,ASC-005,2025-11-25T20:58:00Z,PRD-25615,Clearance,120,120,0
SCN-00083,STR-028,ASC-049,2025-11-26T13:02:00Z,PRD-14306,Shelf-C,147,146,-1
SCN-00084,STR-029,ASC-022,2025-12-02T12:08:00Z,PRD-50954,Clearance,129,122,-7
SCN-00085,STR-019,ASC-063,2025-12-24T14:43:00Z,PRD-80699,Display,126,121,-5
SCN-00086,STR-017,ASC-008,2025-11-20T10:31:00Z,PRD-87469,Clearance,162,163,1
SCN-00087,STR-025,ASC-037,2025-11-11T06:01:00Z,PRD-87393,Shelf-A,37,38,1
SCN-00088,STR-012,ASC-075,2025-10-04T18:57:00Z,PRD-91940,Receiving,102,95,-7
SCN-00089,STR-014,ASC-045,2025-11-15T12:22:00Z,PRD-17398,Endcap,68,65,-3
SCN-00090,STR-021,ASC-040,2025-12-15T07:58:00Z,PRD-18585,Backroom,34,34,0
SCN-00091,STR-006,ASC-003,2025-12-08T11:02:00Z,PRD-70412,Clearance,150,153,3
SCN-00092,STR-009,ASC-003,2025-12-29T13:37:00Z,PRD-12914,Receiving,101,103,2
SCN-00093,STR-011,ASC-074,2025-10-13T18:31:00Z,PRD-23114,Endcap,91,96,5
SCN-00094,STR-017,ASC-044,2025-10-22T15:19:00Z,PRD-57622,Clearance,56,61,5
SCN-00095,STR-021,ASC-010,2025-12-08T09:18:00Z,PRD-44754,Shelf-A,81,83,2
SCN-00096,STR-026,ASC-029,2025-12-19T17:05:00Z,PRD-85784,Shelf-B,156,156,0
SCN-00097,STR-009,ASC-009,2025-12-12T18:33:00Z,PRD-72294,Clearance,58,59,1
SCN-00098,STR-026,ASC-010,2025-12-23T19:19:00Z,PRD-76144,Backroom,115,115,0
SCN-00099,STR-007,ASC-054,2025-11-21T10:39:00Z,PRD-77550,Display,176,171,-5
SCN-00100,STR-029,ASC-003,2025-12-20T17:33:00Z,PRD-34450,Display,59,63,4
SCN-00101,STR-009,ASC-069,2025-12-18T19:49:00Z,PRD-66849,Shelf-A,138,134,-4
SCN-00102,STR-012,ASC-060,2025-10-19T09:09:00Z,PRD-99824,Backroom,116,119,3
SCN-00103,STR-011,ASC-009,2025-12-21T09:54:00Z,PRD-64059,Backroom,78,73,-5
SCN-00104,STR-009,ASC-077,2025-10-31T12:15:00Z,PRD-24884,Shelf-C,54,44,-10
SCN-00105,STR-008,ASC-040,2025-11-29T13:35:00Z,PRD-67164,Clearance,170,161,-9
