txn_id,store_id,register_id,timestamp,type,total,items,associate_id,return_flag
TXN-00001,STR-028,REG-03,2025-11-05T09:41:00Z,sale,31.14,22,ASC-022,False
TXN-00002,STR-002,REG-01,2025-12-20T12:46:00Z,sale,83.86,21,ASC-012,False
TXN-00003,STR-023,REG-05,2025-10-01T11:30:00Z,sale,208.8,17,ASC-057,False
TXN-00004,STR-001,REG-08,2025-12-29T13:52:00Z,sale,301.47,23,ASC-017,False
TXN-00005,STR-016,REG-06,2025-10-30T14:05:00Z,sale,38.09,11,ASC-048,False
TXN-00006,STR-029,REG-08,2025-10-18T14:49:00Z,return,-29.47,2,ASC-009,True
TXN-00007,STR-017,REG-02,2025-10-02T17:41:00Z,sale,124.54,7,ASC-020,False
TXN-00008,STR-030,REG-01,2025-12-18T18:28:00Z,return,-183.1,1,ASC-018,True
TXN-00009,STR-025,REG-05,2025-12-15T19:24:00Z,sale,151.71,5,ASC-032,False
TXN-00010,STR-009,REG-08,2025-10-11T11:35:00Z,sale,253.11,10,ASC-004,False
TXN-00011,STR-028,REG-11,2025-12-24T12:13:00Z,sale,179.56,24,ASC-051,False
TXN-00012,STR-010,REG-08,2025-10-07T20:57:00Z,sale,85.67,13,ASC-015,False
TXN-00013,STR-008,REG-11,2025-12-21T17:04:00Z,sale,342.25,12,ASC-041,False
TXN-00014,STR-005,REG-01,2025-12-12T14:23:00Z,sale,62.54,16,ASC-010,False
TXN-00015,STR-001,REG-02,2025-10-09T08:16:00Z,sale,323.1,13,ASC-065,False
TXN-00016,STR-010,REG-08,2025-12-31T16:49:00Z,sale,246.38,3,ASC-069,False
TXN-00017,STR-018,REG-03,2025-10-20T12:05:00Z,sale,180.18,7,ASC-020,False
TXN-00018,STR-018,REG-06,2025-11-20T17:40:00Z,sale,228.32,21,ASC-009,False
TXN-00019,STR-010,REG-01,2025-11-25T19:54:00Z,sale,87.46,14,ASC-015,False
TXN-00020,STR-015,REG-03,2025-12-17T08:19:00Z,sale,231.17,6,ASC-016,False
TXN-00021,STR-001,REG-01,2025-10-18T19:00:00Z,sale,333.67,17,ASC-067,False
TXN-00022,STR-026,REG-03,2025-11-03T10:23:00Z,sale,273.94,9,ASC-016,False
TXN-00023,STR-025,REG-05,2025-10-04T13:51:00Z,sale,184.54,9,ASC-074,False
TXN-00024,STR-021,REG-06,2025-12-03T15:32:00Z,sale,176.11,19,ASC-022,False
TXN-00025,STR-012,REG-09,2025-11-02T20:06:00Z,return,-68.55,1,ASC-030,True
TXN-00026,STR-024,REG-08,2025-10-01T08:54:00Z,return,-152.31,4,ASC-047,True
TXN-00027,STR-013,REG-03,2025-10-20T10:59:00Z,void,8.36,4,ASC-029,False
TXN-00028,STR-011,REG-03,2025-11-23T19:20:00Z,sale,29.57,12,ASC-016,False
TXN-00029,STR-017,REG-08,2025-10-07T10:14:00Z,return,-8.62,4,ASC-009,True
TXN-00030,STR-029,REG-02,2025-11-06T20:54:00Z,sale,32.52,15,ASC-002,False
TXN-00031,STR-012,REG-10,2025-11-07T17:50:00Z,sale,218.89,15,ASC-048,False
TXN-00032,STR-019,REG-11,2025-10-26T19:57:00Z,sale,279.1,5,ASC-001,False
TXN-00033,STR-030,REG-01,2025-10-04T11:34:00Z,sale,294.25,1,ASC-043,False
TXN-00034,STR-001,REG-04,2025-12-24T14:54:00Z,sale,109.36,7,ASC-068,False
TXN-00035,STR-008,REG-01,2025-12-02T08:09:00Z,sale,34.83,8,ASC-067,False
TXN-00036,STR-014,REG-01,2025-11-17T15:47:00Z,sale,35.71,5,ASC-051,False
TXN-00037,STR-003,REG-02,2025-12-12T08:27:00Z,sale,47.92,10,ASC-034,False
TXN-00038,STR-028,REG-06,2025-11-20T19:53:00Z,sale,113.03,9,ASC-030,False
TXN-00039,STR-003,REG-10,2025-10-18T20:49:00Z,sale,56.51,6,ASC-058,False
TXN-00040,STR-015,REG-06,2025-11-22T09:34:00Z,sale,270.19,15,ASC-040,False
TXN-00041,STR-015,REG-10,2025-10-16T09:10:00Z,return,-140.68,5,ASC-006,True
TXN-00042,STR-007,REG-03,2025-11-11T10:05:00Z,sale,339.02,13,ASC-066,False
TXN-00043,STR-002,REG-08,2025-11-08T12:52:00Z,price_override,7.95,4,ASC-058,False
TXN-00044,STR-018,REG-07,2025-12-10T11:06:00Z,sale,281.85,5,ASC-016,False
TXN-00045,STR-001,REG-05,2025-10-29T10:12:00Z,return,-127.41,1,ASC-075,True
TXN-00046,STR-019,REG-10,2025-10-10T08:04:00Z,sale,226.98,5,ASC-012,False
TXN-00047,STR-029,REG-11,2025-11-12T09:02:00Z,void,9.81,5,ASC-056,False
