handoff_id,store_id,from_manager_id,to_manager_id,timestamp,open_tasks_count,notes_length
HND-0001,STR-021,MGR-003,MGR-013,2025-10-11T22:26:00Z,8,575
HND-0002,STR-018,MGR-021,MGR-003,2025-11-05T15:03:00Z,1,123
HND-0003,STR-012,MGR-002,MGR-019,2025-10-26T22:06:00Z,10,387
HND-0004,STR-009,MGR-010,MGR-025,2025-12-27T22:06:00Z,11,668
HND-0005,STR-005,MGR-025,MGR-023,2025-12-09T22:00:00Z,12,356
HND-0006,STR-010,MGR-012,MGR-014,2025-11-21T14:15:00Z,10,574
HND-0007,STR-025,MGR-005,MGR-014,2025-10-30T15:23:00Z,11,264
HND-0008,STR-016,MGR-008,MGR-018,2025-12-15T23:23:00Z,7,398
HND-0009,STR-026,MGR-003,MGR-012,2025-10-25T23:24:00Z,11,477
HND-0010,STR-007,MGR-015,MGR-016,2025-12-11T14:11:00Z,2,641
HND-0011,STR-028,MGR-005,MGR-011,2025-10-02T23:25:00Z,10,413
HND-0012,STR-011,MGR-008,MGR-015,2025-11-24T23:24:00Z,12,757
HND-0013,STR-018,MGR-010,MGR-012,2025-12-15T14:18:00Z,12,82
HND-0014,STR-030,MGR-005,MGR-006,2025-11-12T23:12:00Z,3,450
HND-0015,STR-003,MGR-018,MGR-013,2025-10-25T23:03:00Z,5,633
HND-0016,STR-015,MGR-021,MGR-010,2025-10-12T15:03:00Z,10,616
HND-0017,STR-006,MGR-002,MGR-024,2025-12-17T23:00:00Z,2,253
HND-0018,STR-003,MGR-013,MGR-010,2025-10-27T15:09:00Z,10,586
HND-0019,STR-003,MGR-015,MGR-002,2025-11-17T14:05:00Z,5,470
HND-0020,STR-013,MGR-006,MGR-004,2025-10-17T23:15:00Z,11,120
HND-0021,STR-013,MGR-007,MGR-005,2025-10-27T22:13:00Z,11,730
HND-0022,STR-016,MGR-006,MGR-021,2025-12-13T22:18:00Z,3,564
HND-0023,STR-023,MGR-022,MGR-015,2025-11-05T15:00:00Z,2,506
HND-0024,STR-003,MGR-013,MGR-021,2025-11-01T22:29:00Z,9,552
HND-0025,STR-015,MGR-015,MGR-020,2025-10-06T14:09:00Z,10,517
HND-0026,STR-012,MGR-023,MGR-024,2025-11-08T23:19:00Z,12,229
HND-0027,STR-014,MGR-008,MGR-006,2025-12-19T23:14:00Z,6,724
HND-0028,STR-006,MGR-023,MGR-019,2025-10-13T23:22:00Z,0,295
HND-0029,STR-029,MGR-006,MGR-010,2025-12-20T22:21:00Z,1,764
HND-0030,STR-024,MGR-024,MGR-007,2025-12-03T23:24:00Z,8,174
HND-0031,STR-012,MGR-003,MGR-005,2025-12-04T22:13:00Z,7,218
HND-0032,STR-009,MGR-007,MGR-018,2025-10-06T23:00:00Z,1,704
HND-0033,STR-023,MGR-022,MGR-025,2025-11-29T23:10:00Z,11,458
HND-0034,STR-028,MGR-007,MGR-014,2025-10-05T14:08:00Z,1,776
HND-0035,STR-030,MGR-005,MGR-012,2025-12-25T23:15:00Z,7,119
HND-0036,STR-003,MGR-018,MGR-023,2025-11-01T23:04:00Z,7,335
HND-0037,STR-027,MGR-006,MGR-007,2025-10-03T14:05:00Z,4,177
HND-0038,STR-018,MGR-024,MGR-013,2025-10-22T14:21:00Z,12,61
HND-0039,STR-022,MGR-009,MGR-005,2025-11-26T22:05:00Z,3,781
HND-0040,STR-002,MGR-022,MGR-018,2025-10-28T23:22:00Z,0,700
HND-0041,STR-026,MGR-017,MGR-022,2025-12-24T14:12:00Z,11,365
HND-0042,STR-015,MGR-002,MGR-021,2025-10-01T14:24:00Z,6,256
HND-0043,STR-030,MGR-008,MGR-013,2025-10-31T15:02:00Z,0,481
HND-0044,STR-001,MGR-001,MGR-012,2025-10-25T14:07:00Z,1,730
HND-0045,STR-006,MGR-024,MGR-006,2025-10-06T23:16:00Z,1,384
HND-0046,STR-011,MGR-018,MGR-022,2025-10-25T15:29:00Z,8,454
HND-0047,STR-014,MGR-004,MGR-009,2025-10-28T14:11:00Z,5,227
HND-0048,STR-001,MGR-013,MGR-022,2025-11-10T14:12:00Z,3,519
HND-0049,STR-008,MGR-003,MGR-023,2025-11-05T22:01:00Z,1,273
HND-0050,STR-014,MGR-010,MGR-021,2025-12-03T14:22:00Z,8,632
HND-0051,STR-006,MGR-009,MGR-004,2025-12-16T22:20:00Z,11,447
HND-0052,STR-022,MGR-025,MGR-023,2025-10-18T22:05:00Z,10,754
HND-0053,STR-011,MGR-022,MGR-016,2025-10-09T22:00:00Z,9,649
HND-0054,STR-015,MGR-013,MGR-018,2025-12-21T15:16:00Z,9,771
HND-0055,STR-001,MGR-008,MGR-001,2025-12-18T14:09:00Z,3,488
HND-0056,STR-025,MGR-008,MGR-021,2025-10-11T14:04:00Z,5,560
HND-0057,STR-010,MGR-007,MGR-005,2025-11-18T15:20:00Z,0,293
HND-0058,STR-030,MGR-024,MGR-020,2025-11-26T22:04:00Z,4,375
HND-0059,STR-021,MGR-025,MGR-002,2025-12-06T23:20:00Z,4,74
HND-0060,STR-008,MGR-024,MGR-011,2025-11-13T15:06:00Z,8,105
