ping_id,associate_id,store_id,timestamp,zone,is_moving,is_customer_facing
PNG-00001,ASC-002,STR-004,2025-12-15T10:01:00Z,Customer Service Desk,False,True
PNG-00002,ASC-037,STR-014,2025-12-15T10:02:00Z,Sales Floor,False,True
PNG-00003,ASC-071,STR-012,2025-12-15T10:04:00Z,Sales Floor,False,True
PNG-00004,ASC-029,STR-006,2025-12-15T10:07:00Z,Sales Floor,True,True
PNG-00005,ASC-021,STR-003,2025-12-15T10:09:00Z,Receiving,True,False
PNG-00006,ASC-013,STR-008,2025-12-15T10:11:00Z,Sales Floor,False,True
PNG-00007,ASC-079,STR-006,2025-12-15T10:12:00Z,Fitting Room,False,True
PNG-00008,ASC-014,STR-001,2025-12-15T10:14:00Z,Stockroom,False,False
PNG-00009,ASC-075,STR-028,2025-12-15T10:17:00Z,Back Office,True,False
PNG-00010,ASC-013,STR-028,2025-12-15T10:18:00Z,Back Office,False,False
PNG-00011,ASC-057,STR-005,2025-12-15T10:21:00Z,Break Room,False,False
PNG-00012,ASC-003,STR-018,2025-12-15T10:23:00Z,Sales Floor,False,True
PNG-00013,ASC-056,STR-026,2025-12-15T10:25:00Z,Sales Floor,False,True
PNG-00014,ASC-065,STR-020,2025-12-15T10:27:00Z,Break Room,True,False
PNG-00015,ASC-048,STR-005,2025-12-15T10:28:00Z,Register,False,True
PNG-00016,ASC-022,STR-026,2025-12-15T10:31:00Z,Sales Floor,False,True
PNG-00017,ASC-046,STR-013,2025-12-15T10:33:00Z,Sales Floor,False,True
PNG-00018,ASC-030,STR-013,2025-12-15T10:35:00Z,Customer Service Desk,True,True
PNG-00019,ASC-009,STR-015,2025-12-15T10:36:00Z,Back Office,False,False
PNG-00020,ASC-047,STR-013,2025-12-15T10:38:00Z,Back Office,False,False
PNG-00021,ASC-055,STR-003,2025-12-15T10:41:00Z,Sales Floor,True,True
PNG-00022,ASC-035,STR-012,2025-12-15T10:43:00Z,Back Office,True,False
PNG-00023,ASC-029,STR-028,2025-12-15T10:44:00Z,Break Room,False,False
PNG-00024,ASC-047,STR-002,2025-12-15T10:46:00Z,Sales Floor,True,True
PNG-00025,ASC-012,STR-020,2025-12-15T10:48:00Z,Sales Floor,False,True
PNG-00026,ASC-058,STR-005,2025-12-15T10:51:00Z,Sales Floor,False,True
PNG-00027,ASC-036,STR-028,2025-12-15T10:52:00Z,Sales Floor,False,True
PNG-00028,ASC-022,STR-017,2025-12-15T10:54:00Z,Sales Floor,True,True
PNG-00029,ASC-080,STR-002,2025-12-15T10:56:00Z,Sales Floor,False,True
PNG-00030,ASC-055,STR-029,2025-12-15T10:58:00Z,Sales Floor,True,True
PNG-00031,ASC-078,STR-023,2025-12-15T11:00:00Z,Sales Floor,True,True
PNG-00032,ASC-035,STR-027,2025-12-15T11:02:00Z,Register,False,True
PNG-00033,ASC-071,STR-025,2025-12-15T11:05:00Z,Stockroom,True,False
PNG-00034,ASC-069,STR-030,2025-12-15T11:06:00Z,Sales Floor,True,True
PNG-00035,ASC-042,STR-028,2025-12-15T11:08:00Z,Stockroom,True,False
PNG-00036,ASC-065,STR-017,2025-12-15T11:10:00Z,Back Office,True,False
PNG-00037,ASC-007,STR-016,2025-12-15T11:12:00Z,Break Room,True,False
PNG-00038,ASC-078,STR-027,2025-12-15T11:15:00Z,Register,False,True
PNG-00039,ASC-060,STR-008,2025-12-15T11:17:00Z,Sales Floor,True,True
PNG-00040,ASC-032,STR-006,2025-12-15T11:18:00Z,Sales Floor,False,True
PNG-00041,ASC-018,STR-001,2025-12-15T11:21:00Z,Back Office,False,False
PNG-00042,ASC-051,STR-018,2025-12-15T11:23:00Z,Break Room,False,False
PNG-00043,ASC-067,STR-012,2025-12-15T11:25:00Z,Stockroom,False,False
PNG-00044,ASC-022,STR-017,2025-12-15T11:27:00Z,Sales Floor,True,True
PNG-00045,ASC-027,STR-003,2025-12-15T11:29:00Z,Break Room,True,False
PNG-00046,ASC-078,STR-029,2025-12-15T11:31:00Z,Back Office,False,False
PNG-00047,ASC-048,STR-001,2025-12-15T11:33:00Z,Back Office,True,False
PNG-00048,ASC-028,STR-014,2025-12-15T11:34:00Z,Back Office,True,False
PNG-00049,ASC-039,STR-013,2025-12-15T11:36:00Z,Sales Floor,True,True
PNG-00050,ASC-057,STR-009,2025-12-15T11:39:00Z,Back Office,False,False
PNG-00051,ASC-048,STR-029,2025-12-15T11:40:00Z,Back Office,False,False
PNG-00052,ASC-007,STR-008,2025-12-15T11:42:00Z,Break Room,True,False
PNG-00053,ASC-038,STR-012,2025-12-15T11:44:00Z,Back Office,False,False
PNG-00054,ASC-056,STR-003,2025-12-15T11:47:00Z,Back Office,False,False
PNG-00055,ASC-006,STR-030,2025-12-15T11:49:00Z,Sales Floor,False,True
PNG-00056,ASC-025,STR-010,2025-12-15T11:50:00Z,Sales Floor,True,True
PNG-00057,ASC-019,STR-024,2025-12-15T11:53:00Z,Sales Floor,True,True
PNG-00058,ASC-067,STR-012,2025-12-15T11:54:00Z,Back Office,False,False
PNG-00059,ASC-079,STR-015,2025-12-15T11:57:00Z,Register,False,True
PNG-00060,ASC-048,STR-002,2025-12-15T11:58:00Z,Break Room,False,False
PNG-00061,ASC-056,STR-025,2025-12-15T12:00:00Z,Stockroom,True,False
PNG-00062,ASC-020,STR-030,2025-12-15T12:03:00Z,Sales Floor,False,True
PNG-00063,ASC-035,STR-005,2025-12-15T12:04:00Z,Stockroom,True,False
PNG-00064,ASC-012,STR-020,2025-12-15T12:07:00Z,Sales Floor,True,True
PNG-00065,ASC-006,STR-002,2025-12-15T12:09:00Z,Sales Floor,True,True
PNG-00066,ASC-025,STR-014,2025-12-15T12:10:00Z,Back Office,True,False
PNG-00067,ASC-055,STR-018,2025-12-15T12:13:00Z,Customer Service Desk,True,True
PNG-00068,ASC-001,STR-003,2025-12-15T12:14:00Z,Break Room,False,False
PNG-00069,ASC-062,STR-026,2025-12-15T12:16:00Z,Sales Floor,True,True
PNG-00070,ASC-064,STR-004,2025-12-15T12:18:00Z,Stockroom,False,False
PNG-00071,ASC-079,STR-024,2025-12-15T12:21:00Z,Break Room,False,False
PNG-00072,ASC-074,STR-018,2025-12-15T12:23:00Z,Register,False,True
PNG-00073,ASC-068,STR-005,2025-12-15T12:25:00Z,Receiving,True,False
PNG-00074,ASC-029,STR-027,2025-12-15T12:26:00Z,Back Office,False,False
PNG-00075,ASC-043,STR-017,2025-12-15T12:29:00Z,Back Office,False,False
PNG-00076,ASC-007,STR-019,2025-12-15T12:31:00Z,Receiving,False,False
PNG-00077,ASC-014,STR-027,2025-12-15T12:32:00Z,Register,True,True
PNG-00078,ASC-032,STR-015,2025-12-15T12:34:00Z,Fitting Room,False,True
PNG-00079,ASC-053,STR-024,2025-12-15T12:37:00Z,Back Office,False,False
PNG-00080,ASC-039,STR-003,2025-12-15T12:38:00Z,Sales Floor,False,True
