sensor_id,store_id,timestamp,zone,enter_count,exit_count,dwell_seconds
SNS-037,STR-021,2025-12-15T10:00:00Z,Entrance,12,6,134
SNS-019,STR-001,2025-12-15T10:02:00Z,Checkout,5,6,248
SNS-024,STR-030,2025-12-15T10:05:00Z,Entrance,4,2,267
SNS-040,STR-022,2025-12-15T10:07:00Z,Garden,21,18,332
SNS-014,STR-029,2025-12-15T10:09:00Z,Garden,22,0,440
SNS-027,STR-013,2025-12-15T10:11:00Z,Electronics,24,15,274
SNS-039,STR-001,2025-12-15T10:13:00Z,Entrance,22,24,474
SNS-009,STR-022,2025-12-15T10:14:00Z,Grocery,20,3,133
SNS-011,STR-029,2025-12-15T10:17:00Z,Grocery,5,8,350
SNS-011,STR-024,2025-12-15T10:19:00Z,Garden,9,8,308
SNS-019,STR-028,2025-12-15T10:21:00Z,Grocery,24,3,419
SNS-013,STR-003,2025-12-15T10:23:00Z,Electronics,4,0,495
SNS-031,STR-004,2025-12-15T10:24:00Z,Electronics,1,3,203
SNS-006,STR-025,2025-12-15T10:26:00Z,Electronics,13,11,463
SNS-048,STR-005,2025-12-15T10:29:00Z,Entrance,21,16,208
SNS-050,STR-007,2025-12-15T10:31:00Z,Entrance,18,0,171
SNS-022,STR-028,2025-12-15T10:33:00Z,Apparel,11,7,220
SNS-042,STR-002,2025-12-15T10:35:00Z,Garden,4,4,532
SNS-005,STR-008,2025-12-15T10:36:00Z,Electronics,10,10,464
SNS-002,STR-028,2025-12-15T10:39:00Z,Grocery,7,9,556
SNS-019,STR-018,2025-12-15T10:40:00Z,Apparel,17,10,73
SNS-008,STR-022,2025-12-15T10:42:00Z,Garden,16,17,32
SNS-040,STR-024,2025-12-15T10:44:00Z,Checkout,11,0,161
SNS-007,STR-022,2025-12-15T10:46:00Z,Entrance,12,0,591
SNS-004,STR-027,2025-12-15T10:49:00Z,Grocery,7,10,51
SNS-037,STR-018,2025-12-15T10:50:00Z,Entrance,20,15,600
SNS-042,STR-013,2025-12-15T10:53:00Z,Garden,14,7,517
SNS-040,STR-009,2025-12-15T10:55:00Z,Customer Service,15,4,480
SNS-035,STR-029,2025-12-15T10:57:00Z,Electronics,4,4,193
SNS-025,STR-009,2025-12-15T10:58:00Z,Checkout,23,0,457
SNS-020,STR-005,2025-12-15T11:00:00Z,Customer Service,13,7,426
SNS-009,STR-027,2025-12-15T11:03:00Z,Electronics,12,13,442
SNS-030,STR-024,2025-12-15T11:05:00Z,Customer Service,12,14,387
SNS-022,STR-011,2025-12-15T11:07:00Z,Apparel,23,16,225
SNS-016,STR-007,2025-12-15T11:08:00Z,Electronics,23,21,387
SNS-030,STR-018,2025-12-15T11:11:00Z,Checkout,20,9,233
SNS-026,STR-005,2025-12-15T11:13:00Z,Grocery,17,20,478
SNS-020,STR-029,2025-12-15T11:15:00Z,Entrance,6,3,360
SNS-036,STR-029,2025-12-15T11:16:00Z,Garden,16,13,199
SNS-029,STR-001,2025-12-15T11:18:00Z,Garden,18,21,191
SNS-018,STR-024,2025-12-15T11:20:00Z,Garden,18,6,169
SNS-027,STR-011,2025-12-15T11:23:00Z,Electronics,23,4,513
SNS-021,STR-020,2025-12-15T11:24:00Z,Grocery,25,2,102
SNS-002,STR-001,2025-12-15T11:26:00Z,Checkout,2,2,380
SNS-013,STR-024,2025-12-15T11:28:00Z,Electronics,9,1,386
SNS-040,STR-030,2025-12-15T11:31:00Z,Customer Service,15,10,194
SNS-019,STR-010,2025-12-15T11:32:00Z,Apparel,4,2,440
SNS-008,STR-018,2025-12-15T11:35:00Z,Apparel,17,17,495
SNS-045,STR-009,2025-12-15T11:36:00Z,Grocery,21,4,470
SNS-007,STR-025,2025-12-15T11:38:00Z,Apparel,12,15,403
SNS-031,STR-006,2025-12-15T11:40:00Z,Checkout,14,5,473
SNS-002,STR-016,2025-12-15T11:43:00Z,Checkout,2,2,85
SNS-012,STR-005,2025-12-15T11:45:00Z,Garden,4,1,216
SNS-041,STR-011,2025-12-15T11:47:00Z,Grocery,11,9,521
SNS-002,STR-020,2025-12-15T11:49:00Z,Apparel,11,13,273
SNS-013,STR-017,2025-12-15T11:51:00Z,Entrance,15,10,185
SNS-004,STR-021,2025-12-15T11:52:00Z,Home,8,7,458
SNS-022,STR-002,2025-12-15T11:55:00Z,Customer Service,21,2,355
SNS-036,STR-002,2025-12-15T11:56:00Z,Entrance,23,18,34
SNS-020,STR-013,2025-12-15T11:58:00Z,Customer Service,12,12,51
SNS-045,STR-022,2025-12-15T12:01:00Z,Garden,10,5,539
SNS-028,STR-014,2025-12-15T12:03:00Z,Apparel,11,11,282
SNS-036,STR-007,2025-12-15T12:05:00Z,Home,8,1,475
SNS-043,STR-003,2025-12-15T12:07:00Z,Grocery,0,1,124
SNS-016,STR-003,2025-12-15T12:08:00Z,Checkout,2,1,600
SNS-016,STR-025,2025-12-15T12:10:00Z,Grocery,0,0,364
SNS-040,STR-003,2025-12-15T12:12:00Z,Customer Service,20,10,123
SNS-040,STR-004,2025-12-15T12:14:00Z,Apparel,6,1,205
SNS-006,STR-023,2025-12-15T12:16:00Z,Entrance,13,7,230
SNS-004,STR-023,2025-12-15T12:18:00Z,Garden,10,10,557
SNS-013,STR-016,2025-12-15T12:20:00Z,Customer Service,19,22,205
SNS-031,STR-010,2025-12-15T12:22:00Z,Customer Service,5,8,21
SNS-006,STR-006,2025-12-15T12:24:00Z,Home,4,3,141
SNS-045,STR-025,2025-12-15T12:26:00Z,Electronics,5,5,248
SNS-011,STR-013,2025-12-15T12:29:00Z,Garden,16,9,238
SNS-028,STR-009,2025-12-15T12:31:00Z,Electronics,16,0,272
SNS-019,STR-025,2025-12-15T12:32:00Z,Grocery,1,0,520
SNS-023,STR-029,2025-12-15T12:34:00Z,Garden,2,5,471
SNS-001,STR-024,2025-12-15T12:36:00Z,Checkout,18,11,82
SNS-037,STR-009,2025-12-15T12:39:00Z,Customer Service,11,11,506
