scan_id,store_id,associate_id,timestamp,product_id,qty,expected_qty,discrepancy
SSCN-00001,STR-012,ASC-064,2025-12-15T10:01:00Z,PRD-74105,40,41,-1
SSCN-00002,STR-008,ASC-076,2025-12-15T10:02:00Z,PRD-15596,88,94,-6
SSCN-00003,STR-014,ASC-060,2025-12-15T10:05:00Z,PRD-52515,51,60,-9
SSCN-00004,STR-028,ASC-060,2025-12-15T10:07:00Z,PRD-30012,18,25,-7
SSCN-00005,STR-014,ASC-004,2025-12-15T10:08:00Z,PRD-51513,48,47,1
SSCN-00006,STR-013,ASC-047,2025-12-15T10:10:00Z,PRD-66935,84,84,0
SSCN-00007,STR-005,ASC-076,2025-12-15T10:12:00Z,PRD-38441,12,7,5
SSCN-00008,STR-013,ASC-061,2025-12-15T10:14:00Z,PRD-45506,43,44,-1
SSCN-00009,STR-001,ASC-064,2025-12-15T10:17:00Z,PRD-30750,38,41,-3
SSCN-00010,STR-008,ASC-025,2025-12-15T10:19:00Z,PRD-89537,92,102,-10
SSCN-00011,STR-014,ASC-056,2025-12-15T10:20:00Z,PRD-73876,85,81,4
SSCN-00012,STR-012,ASC-014,2025-12-15T10:22:00Z,PRD-52373,90,100,-10
SSCN-00013,STR-020,ASC-038,2025-12-15T10:24:00Z,PRD-40821,66,76,-10
SSCN-00014,STR-026,ASC-028,2025-12-15T10:27:00Z,PRD-74291,1,5,-4
SSCN-00015,STR-021,ASC-021,2025-12-15T10:29:00Z,PRD-92635,39,47,-8
SSCN-00016,STR-020,ASC-016,2025-12-15T10:30:00Z,PRD-79420,36,41,-5
SSCN-00017,STR-024,ASC-048,2025-12-15T10:32:00Z,PRD-58439,72,82,-10
SSCN-00018,STR-003,ASC-003,2025-12-15T10:35:00Z,PRD-58497,53,55,-2
SSCN-00019,STR-007,ASC-042,2025-12-15T10:36:00Z,PRD-50964,81,91,-10
SSCN-00020,STR-026,ASC-036,2025-12-15T10:39:00Z,PRD-85657,42,43,-1
SSCN-00021,STR-029,ASC-017,2025-12-15T10:41:00Z,PRD-92926,73,75,-2
SSCN-00022,STR-023,ASC-076,2025-12-15T10:42:00Z,PRD-42649,62,72,-10
SSCN-00023,STR-029,ASC-003,2025-12-15T10:45:00Z,PRD-76972,12,19,-7
SSCN-00024,STR-025,ASC-019,2025-12-15T10:47:00Z,PRD-20657,67,77,-10
SSCN-00025,STR-015,ASC-078,2025-12-15T10:49:00Z,PRD-18772,57,64,-7
SSCN-00026,STR-025,ASC-025,2025-12-15T10:51:00Z,PRD-28754,46,42,4
SSCN-00027,STR-016,ASC-032,2025-12-15T10:52:00Z,PRD-92977,0,5,-5
SSCN-00028,STR-012,ASC-080,2025-12-15T10:55:00Z,PRD-83646,18,21,-3
SSCN-00029,STR-011,ASC-063,2025-12-15T10:57:00Z,PRD-89268,68,69,-1
SSCN-00030,STR-027,ASC-025,2025-12-15T10:58:00Z,PRD-48747,93,89,4
SSCN-00031,STR-024,ASC-025,2025-12-15T11:01:00Z,PRD-42535,48,56,-8
SSCN-00032,STR-023,ASC-002,2025-12-15T11:03:00Z,PRD-44208,26,25,1
SSCN-00033,STR-010,ASC-004,2025-12-15T11:04:00Z,PRD-95411,82,90,-8
SSCN-00034,STR-003,ASC-048,2025-12-15T11:07:00Z,PRD-29348,57,64,-7
SSCN-00035,STR-018,ASC-021,2025-12-15T11:09:00Z,PRD-51168,13,16,-3
SSCN-00036,STR-015,ASC-036,2025-12-15T11:10:00Z,PRD-89500,58,62,-4
SSCN-00037,STR-006,ASC-076,2025-12-15T11:12:00Z,PRD-52310,2,0,2
SSCN-00038,STR-002,ASC-042,2025-12-15T11:15:00Z,PRD-58342,18,23,-5
SSCN-00039,STR-027,ASC-049,2025-12-15T11:16:00Z,PRD-92429,55,60,-5
SSCN-00040,STR-013,ASC-023,2025-12-15T11:19:00Z,PRD-90357,97,93,4
SSCN-00041,STR-021,ASC-037,2025-12-15T11:21:00Z,PRD-84136,96,92,4
SSCN-00042,STR-029,ASC-066,2025-12-15T11:22:00Z,PRD-27284,63,60,3
SSCN-00043,STR-030,ASC-009,2025-12-15T11:24:00Z,PRD-29866,13,13,0
SSCN-00044,STR-023,ASC-031,2025-12-15T11:26:00Z,PRD-57227,45,50,-5
SSCN-00045,STR-003,ASC-053,2025-12-15T11:29:00Z,PRD-19119,63,70,-7
SSCN-00046,STR-018,ASC-008,2025-12-15T11:31:00Z,PRD-94124,50,49,1
