txn_id,store_id,timestamp,type,total,items,return_flag,void_flag
STXN-00001,STR-027,2025-12-15T10:01:00Z,sale,210.17,13,False,False
STXN-00002,STR-020,2025-12-15T10:03:00Z,sale,31.41,4,False,False
STXN-00003,STR-019,2025-12-15T10:04:00Z,sale,192.19,12,False,False
STXN-00004,STR-019,2025-12-15T10:07:00Z,sale,180.98,2,False,False
STXN-00005,STR-012,2025-12-15T10:09:00Z,return,-66.86,17,True,False
STXN-00006,STR-002,2025-12-15T10:11:00Z,sale,158.89,14,False,False
STXN-00007,STR-022,2025-12-15T10:12:00Z,sale,49.28,11,False,False
STXN-00008,STR-004,2025-12-15T10:15:00Z,return,-33.73,15,True,False
STXN-00009,STR-028,2025-12-15T10:17:00Z,sale,172.34,12,False,False
STXN-00010,STR-008,2025-12-15T10:19:00Z,sale,16.71,15,False,False
STXN-00011,STR-023,2025-12-15T10:21:00Z,sale,44.35,18,False,False
STXN-00012,STR-025,2025-12-15T10:23:00Z,sale,189.56,6,False,False
STXN-00013,STR-028,2025-12-15T10:25:00Z,return,-101.6,20,True,False
STXN-00014,STR-018,2025-12-15T10:26:00Z,sale,79.93,3,False,False
STXN-00015,STR-021,2025-12-15T10:29:00Z,sale,126.81,6,False,False
STXN-00016,STR-025,2025-12-15T10:31:00Z,sale,214.71,16,False,False
STXN-00017,STR-012,2025-12-15T10:33:00Z,sale,224.47,6,False,False
STXN-00018,STR-006,2025-12-15T10:35:00Z,sale,51.5,10,False,False
STXN-00019,STR-030,2025-12-15T10:37:00Z,sale,136.87,13,False,False
STXN-00020,STR-020,2025-12-15T10:38:00Z,sale,27.18,20,False,False
STXN-00021,STR-030,2025-12-15T10:41:00Z,return,-128.86,11,True,False
STXN-00022,STR-018,2025-12-15T10:43:00Z,sale,230.71,4,False,False
STXN-00023,STR-028,2025-12-15T10:45:00Z,sale,242.83,11,False,False
STXN-00024,STR-008,2025-12-15T10:47:00Z,sale,65.25,5,False,False
STXN-00025,STR-022,2025-12-15T10:49:00Z,sale,59.99,8,False,False
STXN-00026,STR-008,2025-12-15T10:50:00Z,sale,203.82,5,False,False
STXN-00027,STR-001,2025-12-15T10:53:00Z,sale,10.09,20,False,False
STXN-00028,STR-016,2025-12-15T10:55:00Z,sale,140.05,19,False,False
STXN-00029,STR-007,2025-12-15T10:57:00Z,sale,132.05,13,False,False
STXN-00030,STR-021,2025-12-15T10:59:00Z,sale,178.15,12,False,False
STXN-00031,STR-026,2025-12-15T11:01:00Z,sale,94.31,8,False,False
STXN-00032,STR-011,2025-12-15T11:03:00Z,sale,174.83,11,False,False
STXN-00033,STR-028,2025-12-15T11:04:00Z,sale,146.84,4,False,False
STXN-00034,STR-030,2025-12-15T11:07:00Z,sale,30.68,20,False,False
STXN-00035,STR-008,2025-12-15T11:09:00Z,sale,163.02,18,False,False
STXN-00036,STR-027,2025-12-15T11:10:00Z,sale,145.69,2,False,False
STXN-00037,STR-015,2025-12-15T11:13:00Z,sale,111.87,6,False,False
STXN-00038,STR-001,2025-12-15T11:15:00Z,sale,19.1,12,False,False
STXN-00039,STR-016,2025-12-15T11:16:00Z,sale,91.83,9,False,False
STXN-00040,STR-019,2025-12-15T11:19:00Z,return,-44.47,20,True,False
STXN-00041,STR-016,2025-12-15T11:21:00Z,sale,235.97,13,False,False
STXN-00042,STR-007,2025-12-15T11:23:00Z,sale,175.82,10,False,False
STXN-00043,STR-011,2025-12-15T11:24:00Z,sale,219.61,14,False,False
STXN-00044,STR-005,2025-12-15T11:27:00Z,return,-9.22,2,True,False
STXN-00045,STR-023,2025-12-15T11:29:00Z,sale,194.78,3,False,False
STXN-00046,STR-020,2025-12-15T11:30:00Z,sale,183.94,7,False,False
STXN-00047,STR-008,2025-12-15T11:32:00Z,sale,12.22,16,False,False
STXN-00048,STR-024,2025-12-15T11:34:00Z,sale,28.07,13,False,False
STXN-00049,STR-019,2025-12-15T11:37:00Z,sale,98.42,16,False,False
STXN-00050,STR-005,2025-12-15T11:39:00Z,sale,81.24,6,False,False
STXN-00051,STR-023,2025-12-15T11:41:00Z,return,-77.55,6,True,False
STXN-00052,STR-009,2025-12-15T11:43:00Z,sale,91.04,3,False,False
STXN-00053,STR-011,2025-12-15T11:45:00Z,sale,133.35,1,False,False
STXN-00054,STR-029,2025-12-15T11:46:00Z,void,-141.42,12,False,True
STXN-00055,STR-004,2025-12-15T11:48:00Z,sale,246.36,1,False,False
STXN-00056,STR-001,2025-12-15T11:51:00Z,sale,11.78,19,False,False
STXN-00057,STR-019,2025-12-15T11:53:00Z,return,-11.42,7,True,False
STXN-00058,STR-021,2025-12-15T11:55:00Z,sale,58.5,12,False,False
STXN-00059,STR-004,2025-12-15T11:56:00Z,sale,145.63,15,False,False
STXN-00060,STR-023,2025-12-15T11:58:00Z,sale,204.52,15,False,False
STXN-00061,STR-001,2025-12-15T12:00:00Z,return,-21.21,4,True,False
STXN-00062,STR-026,2025-12-15T12:03:00Z,return,-134.37,6,True,False
STXN-00063,STR-019,2025-12-15T12:04:00Z,return,-77.84,20,True,False
STXN-00064,STR-005,2025-12-15T12:07:00Z,return,-15.35,18,True,False
STXN-00065,STR-027,2025-12-15T12:09:00Z,sale,236.28,18,False,False
STXN-00066,STR-003,2025-12-15T12:11:00Z,sale,39.64,16,False,False
STXN-00067,STR-007,2025-12-15T12:13:00Z,sale,19.36,16,False,False
STXN-00068,STR-026,2025-12-15T12:14:00Z,sale,27.28,11,False,False
STXN-00069,STR-030,2025-12-15T12:17:00Z,sale,162.58,10,False,False
STXN-00070,STR-011,2025-12-15T12:18:00Z,sale,53.52,14,False,False
STXN-00071,STR-013,2025-12-15T12:21:00Z,sale,125.16,16,False,False
STXN-00072,STR-004,2025-12-15T12:23:00Z,sale,154.37,10,False,False
STXN-00073,STR-016,2025-12-15T12:25:00Z,sale,176.23,17,False,False
STXN-00074,STR-027,2025-12-15T12:26:00Z,sale,26.85,19,False,False
STXN-00075,STR-024,2025-12-15T12:28:00Z,sale,186.12,18,False,False
STXN-00076,STR-001,2025-12-15T12:30:00Z,void,-94.19,12,False,True
STXN-00077,STR-018,2025-12-15T12:32:00Z,sale,172.62,14,False,False
STXN-00078,STR-024,2025-12-15T12:34:00Z,sale,171.88,2,False,False
STXN-00079,STR-030,2025-12-15T12:36:00Z,sale,237.74,8,False,False
STXN-00080,STR-023,2025-12-15T12:39:00Z,sale,54.88,7,False,False
