incident_id,store_id,timestamp,type,severity,response_time_sec,is_resolved
SINC-00001,STR-022,2025-12-15T10:01:00Z,safety_hazard,low,488,False
SINC-00002,STR-021,2025-12-15T10:02:00Z,slip_and_fall,high,475,True
SINC-00003,STR-023,2025-12-15T10:05:00Z,safety_hazard,high,790,True
SINC-00004,STR-012,2025-12-15T10:06:00Z,slip_and_fall,medium,870,True
SINC-00005,STR-006,2025-12-15T10:09:00Z,customer_complaint,high,583,True
SINC-00006,STR-024,2025-12-15T10:11:00Z,equipment_failure,low,441,True
SINC-00007,STR-012,2025-12-15T10:13:00Z,safety_hazard,high,799,False
SINC-00008,STR-022,2025-12-15T10:15:00Z,customer_complaint,critical,118,True
SINC-00009,STR-029,2025-12-15T10:16:00Z,customer_complaint,critical,690,True
SINC-00010,STR-025,2025-12-15T10:18:00Z,theft,medium,670,True
SINC-00011,STR-011,2025-12-15T10:20:00Z,slip_and_fall,low,865,False
SINC-00012,STR-027,2025-12-15T10:23:00Z,theft,high,144,False
SINC-00013,STR-018,2025-12-15T10:24:00Z,slip_and_fall,low,34,True
SINC-00014,STR-018,2025-12-15T10:26:00Z,safety_hazard,medium,836,True
SINC-00015,STR-004,2025-12-15T10:29:00Z,customer_complaint,medium,434,True
SINC-00016,STR-027,2025-12-15T10:31:00Z,safety_hazard,medium,797,True
SINC-00017,STR-025,2025-12-15T10:32:00Z,safety_hazard,medium,494,True
SINC-00018,STR-023,2025-12-15T10:34:00Z,theft,high,546,False
SINC-00019,STR-016,2025-12-15T10:36:00Z,theft,medium,343,True
SINC-00020,STR-013,2025-12-15T10:39:00Z,safety_hazard,medium,128,False
SINC-00021,STR-007,2025-12-15T10:40:00Z,theft,low,153,True
SINC-00022,STR-027,2025-12-15T10:42:00Z,theft,low,151,True
SINC-00023,STR-012,2025-12-15T10:45:00Z,theft,medium,337,True
SINC-00024,STR-012,2025-12-15T10:46:00Z,customer_complaint,medium,633,False
SINC-00025,STR-021,2025-12-15T10:48:00Z,equipment_failure,critical,541,True
SINC-00026,STR-001,2025-12-15T10:51:00Z,equipment_failure,high,422,False
SINC-00027,STR-025,2025-12-15T10:52:00Z,equipment_failure,medium,665,False
SINC-00028,STR-022,2025-12-15T10:55:00Z,theft,medium,529,False
SINC-00029,STR-003,2025-12-15T10:57:00Z,customer_complaint,medium,114,True
