perf_id,segment_id,engineer_id,month,uptime_pct,mttr_hours,tickets_opened,tickets_closed,doc_hours,maintenance_hours,planned_maintenance_count,unplanned_outages,capacity_utilization_pct,latency_ms_avg
NP-001,SEG-001,ENG-001,2025-11,99.95,1.2,12,11,18,24,2,1,62,3.2
NP-002,SEG-002,ENG-002,2025-11,99.88,1.8,18,17,28,20,1,2,71,4.1
NP-003,SEG-003,ENG-003,2025-11,99.92,1.5,15,14,22,28,3,1,58,2.8
NP-004,SEG-004,ENG-004,2025-11,99.78,2.5,22,20,35,18,1,3,75,5.2
NP-005,SEG-005,ENG-005,2025-11,99.97,0.8,8,8,12,30,4,0,45,2.1
NP-006,SEG-006,ENG-006,2025-11,99.91,1.6,16,15,25,22,2,1,68,3.8
NP-007,SEG-007,ENG-011,2025-11,99.85,2.0,20,18,32,16,1,2,78,4.5
NP-008,SEG-008,ENG-012,2025-11,99.94,1.3,10,10,16,26,3,1,55,2.9
NP-009,SEG-009,ENG-013,2025-11,99.82,2.2,24,22,38,15,1,3,82,5.8
NP-010,SEG-010,ENG-014,2025-11,99.96,1.0,9,9,14,28,2,0,48,2.4
NP-011,SEG-011,ENG-016,2025-11,99.89,1.7,17,16,26,20,2,2,70,4.0
NP-012,SEG-012,ENG-017,2025-11,99.93,1.4,13,12,20,25,3,1,60,3.1
NP-013,SEG-001,ENG-001,2025-12,99.93,1.4,14,13,20,22,2,1,64,3.4
NP-014,SEG-002,ENG-002,2025-12,99.85,2.0,20,19,30,18,1,2,73,4.3
NP-015,SEG-003,ENG-003,2025-12,99.90,1.6,16,15,24,26,3,1,60,3.0
NP-016,SEG-004,ENG-004,2025-12,99.75,2.8,25,23,38,16,1,3,78,5.5
NP-017,SEG-005,ENG-005,2025-12,99.96,0.9,9,9,14,28,4,0,47,2.2
NP-018,SEG-006,ENG-006,2025-12,99.89,1.8,18,17,28,20,2,2,70,4.0
NP-019,SEG-007,ENG-011,2025-12,99.83,2.2,22,20,34,14,1,2,80,4.8
NP-020,SEG-008,ENG-012,2025-12,99.92,1.4,12,11,18,24,3,1,57,3.1
NP-021,SEG-009,ENG-013,2025-12,99.80,2.4,26,24,40,14,1,3,84,6.0
NP-022,SEG-010,ENG-014,2025-12,99.95,1.1,10,10,15,26,2,1,50,2.5
NP-023,SEG-011,ENG-016,2025-12,99.87,1.9,19,18,28,18,2,2,72,4.2
NP-024,SEG-012,ENG-017,2025-12,99.91,1.5,14,13,22,24,3,1,62,3.3
NP-025,SEG-001,ENG-001,2026-01,99.91,1.5,16,15,22,20,2,1,66,3.6
NP-026,SEG-002,ENG-002,2026-01,99.82,2.2,22,20,32,16,1,3,76,4.6
NP-027,SEG-003,ENG-003,2026-01,99.88,1.8,18,17,26,24,3,2,62,3.2
NP-028,SEG-004,ENG-004,2026-01,99.72,3.0,28,25,42,14,1,4,80,5.8
NP-029,SEG-005,ENG-005,2026-01,99.95,1.0,10,10,15,26,4,0,49,2.3
NP-030,SEG-006,ENG-006,2026-01,99.87,1.9,19,18,30,18,2,2,72,4.2
NP-031,SEG-007,ENG-011,2026-01,99.80,2.4,24,22,36,12,1,3,82,5.0
NP-032,SEG-008,ENG-012,2026-01,99.90,1.5,14,13,20,22,3,1,59,3.2
NP-033,SEG-009,ENG-013,2026-01,99.78,2.6,28,26,44,12,1,4,86,6.2
NP-034,SEG-010,ENG-014,2026-01,99.94,1.2,11,11,16,24,2,1,52,2.6
NP-035,SEG-011,ENG-016,2026-01,99.85,2.0,20,19,30,16,2,2,74,4.4
NP-036,SEG-012,ENG-017,2026-01,99.89,1.6,15,14,24,22,3,1,64,3.5
NP-037,SEG-001,ENG-001,2026-02,99.89,1.6,18,16,24,18,2,2,68,3.8
NP-038,SEG-002,ENG-002,2026-02,99.80,2.3,24,22,34,14,1,3,78,4.8
NP-039,SEG-003,ENG-003,2026-02,99.86,1.9,20,18,28,22,3,2,64,3.4
NP-040,SEG-004,ENG-004,2026-02,99.70,3.2,30,27,46,12,1,4,82,6.0
NP-041,SEG-005,ENG-005,2026-02,99.94,1.1,11,11,16,24,4,1,51,2.4
NP-042,SEG-006,ENG-006,2026-02,99.85,2.0,20,19,32,16,2,2,74,4.4
NP-043,SEG-007,ENG-011,2026-02,99.78,2.5,26,24,38,10,1,3,84,5.2
NP-044,SEG-008,ENG-012,2026-02,99.88,1.6,16,15,22,20,3,1,61,3.4
NP-045,SEG-009,ENG-013,2026-02,99.76,2.8,30,28,48,10,1,4,88,6.5
NP-046,SEG-010,ENG-014,2026-02,99.93,1.3,12,12,18,22,2,1,54,2.8
NP-047,SEG-011,ENG-016,2026-02,99.83,2.1,22,20,32,14,2,3,76,4.6
NP-048,SEG-012,ENG-017,2026-02,99.87,1.7,16,15,26,20,3,1,66,3.6
NP-049,SEG-001,ENG-001,2026-03,99.87,1.8,20,18,26,16,2,2,70,4.0
NP-050,SEG-002,ENG-002,2026-03,99.78,2.5,26,24,36,12,1,3,80,5.0
NP-051,SEG-003,ENG-003,2026-03,99.84,2.0,22,20,30,20,3,2,66,3.6
NP-052,SEG-004,ENG-004,2026-03,99.68,3.5,32,28,50,10,1,5,85,6.4
NP-053,SEG-005,ENG-005,2026-03,99.93,1.2,12,12,18,22,4,1,53,2.5
NP-054,SEG-006,ENG-006,2026-03,99.83,2.1,22,20,34,14,2,2,76,4.6
NP-055,SEG-007,ENG-011,2026-03,99.76,2.6,28,25,40,8,1,3,86,5.4
NP-056,SEG-008,ENG-012,2026-03,99.86,1.8,18,16,24,18,3,2,63,3.6
NP-057,SEG-009,ENG-013,2026-03,99.74,3.0,32,30,52,8,1,5,90,6.8
