quality_id,ticket_id,engineer_id,review_date,resolution_accuracy_pct,rca_completeness_pct,doc_standard_met,peer_review_score,time_to_document_min,documentation_errors,customer_followup_done
QA-001,TKT-0001,ENG-001,2026-02-24,95,80,Yes,4.2,35,0,Yes
QA-002,TKT-0002,ENG-003,2026-02-24,88,75,Yes,3.8,55,1,Yes
QA-003,TKT-0003,ENG-002,2026-02-24,92,70,Yes,4.0,20,0,No
QA-004,TKT-0004,ENG-004,2026-02-24,82,90,Yes,4.5,75,2,Yes
QA-005,TKT-0005,ENG-011,2026-02-24,90,65,No,3.5,30,1,Yes
QA-006,TKT-0006,ENG-005,2026-02-25,85,88,Yes,4.3,65,1,No
QA-007,TKT-0007,ENG-012,2026-02-24,91,72,Yes,3.9,50,0,No
QA-008,TKT-0008,ENG-016,2026-02-24,88,60,No,3.4,25,1,Yes
QA-009,TKT-0009,ENG-007,2026-02-25,96,85,Yes,4.6,40,0,No
QA-010,TKT-0010,ENG-009,2026-02-25,84,82,Yes,4.1,60,1,Yes
QA-011,TKT-0011,ENG-013,2026-02-25,80,92,Yes,4.7,70,2,Yes
QA-012,TKT-0012,ENG-014,2026-02-26,94,78,Yes,4.0,45,0,No
QA-013,TKT-0013,ENG-020,2026-02-25,90,55,No,3.2,20,0,No
QA-014,TKT-0014,ENG-006,2026-02-26,78,95,Yes,4.8,80,3,Yes
QA-015,TKT-0015,ENG-008,2026-02-28,93,70,Yes,3.8,90,0,No
QA-016,TKT-0016,ENG-017,2026-03-01,75,98,Yes,4.9,240,1,No
QA-017,TKT-0017,ENG-003,2026-02-27,91,68,Yes,3.7,55,0,No
QA-018,TKT-0018,ENG-001,2026-02-26,94,75,Yes,4.1,30,0,Yes
QA-019,TKT-0019,ENG-018,2026-02-26,86,92,Yes,4.6,85,1,No
QA-020,TKT-0020,ENG-022,2026-02-26,89,70,Yes,3.8,40,0,No
QA-021,TKT-0021,ENG-010,2026-02-26,85,80,Yes,4.2,65,1,Yes
QA-022,TKT-0022,ENG-024,2026-03-05,72,96,Yes,4.8,180,2,No
QA-023,TKT-0023,ENG-004,2026-02-27,95,82,Yes,4.3,35,0,No
QA-024,TKT-0024,ENG-011,2026-02-27,92,58,No,3.3,20,0,No
QA-025,TKT-0025,ENG-019,2026-02-27,93,80,Yes,4.1,50,0,No
QA-026,TKT-0026,ENG-026,2026-02-27,87,72,Yes,3.9,55,1,Yes
QA-027,TKT-0027,ENG-005,2026-02-28,83,85,Yes,4.4,70,1,No
QA-028,TKT-0028,ENG-029,2026-02-28,90,74,Yes,3.8,60,0,No
QA-029,TKT-0029,ENG-023,2026-02-28,86,80,Yes,4.2,55,1,Yes
QA-030,TKT-0030,ENG-015,2026-02-28,91,68,Yes,3.7,40,0,No
QA-031,TKT-0031,ENG-002,2026-02-28,96,62,No,3.5,15,0,No
QA-032,TKT-0032,ENG-028,2026-02-28,90,70,Yes,3.8,25,0,Yes
QA-033,TKT-0033,ENG-006,2026-02-28,88,88,Yes,4.5,45,0,No
QA-034,TKT-0034,ENG-030,2026-02-28,93,75,Yes,4.0,40,0,No
QA-035,TKT-0035,ENG-012,2026-02-28,82,94,Yes,4.8,75,2,No
QA-036,TKT-0036,ENG-013,2026-02-28,79,93,Yes,4.7,70,2,Yes
QA-037,TKT-0037,ENG-016,2026-02-28,92,55,No,3.1,20,1,Yes
QA-038,TKT-0038,ENG-021,2026-02-28,94,78,Yes,4.0,35,0,No
QA-039,TKT-0039,ENG-009,2026-03-04,91,66,Yes,3.6,85,0,No
QA-040,TKT-0040,ENG-017,2026-03-06,74,97,Yes,4.9,220,1,No
QA-041,TKT-0041,ENG-014,2026-03-03,92,72,Yes,3.9,50,0,No
QA-042,TKT-0042,ENG-001,2026-03-02,88,74,Yes,3.8,50,1,Yes
QA-043,TKT-0043,ENG-027,2026-03-02,91,60,No,3.4,25,0,No
QA-044,TKT-0044,ENG-007,2026-03-02,84,82,Yes,4.2,60,1,Yes
QA-045,TKT-0045,ENG-004,2026-03-02,96,55,No,3.2,15,0,No
QA-046,TKT-0046,ENG-025,2026-03-03,90,70,Yes,3.8,30,0,Yes
QA-047,TKT-0047,ENG-018,2026-03-04,89,75,Yes,3.9,55,0,No
QA-048,TKT-0048,ENG-010,2026-03-03,95,82,Yes,4.3,45,0,No
QA-049,TKT-0049,ENG-022,2026-03-04,85,80,Yes,4.1,60,1,No
QA-050,TKT-0050,ENG-003,2026-03-03,90,72,Yes,3.9,50,0,No
QA-051,TKT-0051,ENG-024,2026-03-10,71,97,Yes,4.9,200,2,No
QA-052,TKT-0052,ENG-005,2026-03-04,94,80,Yes,4.2,30,0,No
QA-053,TKT-0053,ENG-020,2026-03-04,91,55,No,3.2,20,0,No
QA-054,TKT-0054,ENG-008,2026-03-04,80,90,Yes,4.6,70,2,Yes
QA-055,TKT-0055,ENG-029,2026-03-04,87,88,Yes,4.5,50,1,No
QA-056,TKT-0056,ENG-026,2026-03-04,93,62,No,3.5,20,0,No
QA-057,TKT-0057,ENG-011,2026-03-05,95,72,Yes,3.9,30,0,Yes
QA-058,TKT-0058,ENG-019,2026-03-05,93,80,Yes,4.1,45,0,No
QA-059,TKT-0059,ENG-023,2026-03-05,86,82,Yes,4.2,55,1,Yes
QA-060,TKT-0060,ENG-015,2026-03-08,90,68,Yes,3.7,80,0,No
QA-061,TKT-0061,ENG-002,2026-03-05,94,58,No,3.3,20,0,No
QA-062,TKT-0062,ENG-006,2026-03-05,92,76,Yes,4.0,40,0,No
QA-063,TKT-0063,ENG-030,2026-03-06,85,80,Yes,4.2,60,1,Yes
QA-064,TKT-0064,ENG-012,2026-03-06,83,92,Yes,4.7,65,1,No
QA-065,TKT-0065,ENG-016,2026-03-06,93,60,No,3.4,20,0,No
QA-066,TKT-0066,ENG-001,2026-03-08,87,74,Yes,3.8,60,1,No
QA-067,TKT-0067,ENG-013,2026-03-07,90,76,Yes,4.0,55,0,No
QA-068,TKT-0068,ENG-004,2026-03-06,92,68,Yes,3.7,30,0,Yes
QA-069,TKT-0069,ENG-021,2026-03-07,84,80,Yes,4.2,55,1,Yes
QA-070,TKT-0070,ENG-028,2026-03-07,90,55,No,3.1,20,0,No
QA-071,TKT-0071,ENG-014,2026-03-07,88,72,Yes,3.9,45,0,No
QA-072,TKT-0072,ENG-009,2026-03-07,86,80,Yes,4.1,50,1,Yes
QA-073,TKT-0073,ENG-017,2026-03-11,73,98,Yes,4.9,210,1,No
QA-074,TKT-0074,ENG-025,2026-03-07,91,65,No,3.5,25,0,Yes
QA-075,TKT-0075,ENG-027,2026-03-07,93,78,Yes,4.0,40,0,No
QA-076,TKT-0076,ENG-003,2026-03-07,96,50,No,3.0,15,0,No
QA-077,TKT-0077,ENG-018,2026-03-08,87,78,Yes,4.0,55,1,Yes
QA-078,TKT-0078,ENG-022,2026-03-09,91,72,Yes,3.9,50,0,No
QA-079,TKT-0079,ENG-008,2026-03-08,94,80,Yes,4.2,30,0,No
QA-080,TKT-0080,ENG-010,2026-03-08,85,80,Yes,4.1,55,1,Yes
QA-081,TKT-0081,ENG-005,2026-03-08,90,74,Yes,3.8,40,0,No
QA-082,TKT-0082,ENG-026,2026-03-08,81,90,Yes,4.6,75,2,Yes
QA-083,TKT-0083,ENG-024,2026-03-09,79,95,Yes,4.8,80,2,Yes
QA-084,TKT-0084,ENG-029,2026-03-09,93,76,Yes,4.0,35,0,No
QA-085,TKT-0085,ENG-011,2026-03-09,92,60,No,3.4,25,0,Yes
QA-086,TKT-0086,ENG-020,2026-03-09,89,68,Yes,3.7,30,0,Yes
QA-087,TKT-0087,ENG-007,2026-03-13,91,70,Yes,3.8,90,0,No
QA-088,TKT-0088,ENG-019,2026-03-10,87,74,Yes,3.8,50,1,Yes
QA-089,TKT-0089,ENG-023,2026-03-10,95,82,Yes,4.3,45,0,No
QA-090,TKT-0090,ENG-001,2026-03-10,94,62,No,3.5,20,0,Yes
QA-091,TKT-0091,ENG-015,2026-03-10,85,80,Yes,4.1,55,1,Yes
QA-092,TKT-0092,ENG-006,2026-03-11,89,74,Yes,3.9,50,0,No
QA-093,TKT-0093,ENG-030,2026-03-10,92,76,Yes,4.0,40,0,No
QA-094,TKT-0094,ENG-013,2026-03-10,86,90,Yes,4.6,55,1,No
QA-095,TKT-0095,ENG-002,2026-03-11,93,55,No,3.2,18,0,No
QA-096,TKT-0096,ENG-012,2026-03-13,85,78,Yes,4.0,65,1,No
QA-097,TKT-0097,ENG-014,2026-03-11,90,68,Yes,3.7,30,0,No
QA-098,TKT-0098,ENG-004,2026-03-11,86,80,Yes,4.1,50,1,Yes
QA-099,TKT-0099,ENG-021,2026-03-11,94,78,Yes,4.0,40,0,No
QA-100,TKT-0100,ENG-017,2026-03-15,72,98,Yes,4.9,190,2,No
QA-101,TKT-0101,ENG-016,2026-03-11,91,58,No,3.3,20,0,Yes
QA-102,TKT-0102,ENG-028,2026-03-12,93,62,No,3.5,18,0,No
QA-103,TKT-0103,ENG-009,2026-03-12,84,82,Yes,4.2,60,1,Yes
QA-104,TKT-0104,ENG-025,2026-03-12,90,68,Yes,3.7,30,0,Yes
QA-105,TKT-0105,ENG-022,2026-03-12,88,74,Yes,3.9,45,0,No
QA-106,TKT-0106,ENG-003,2026-03-12,90,72,Yes,3.8,40,0,No
QA-107,TKT-0107,ENG-018,2026-03-12,91,74,Yes,3.9,45,0,No
QA-108,TKT-0108,ENG-010,2026-03-13,93,60,No,3.4,20,0,No
QA-109,TKT-0109,ENG-007,2026-03-13,95,82,Yes,4.3,45,0,No
QA-110,TKT-0110,ENG-024,2026-03-15,84,78,Yes,4.0,65,1,No
QA-111,TKT-0111,ENG-027,2026-03-13,90,70,Yes,3.8,40,0,Yes
QA-112,TKT-0112,ENG-005,2026-03-14,89,76,Yes,4.0,50,0,No
QA-113,TKT-0113,ENG-011,2026-03-13,95,60,No,3.4,20,0,No
QA-114,TKT-0114,ENG-029,2026-03-13,93,80,Yes,4.2,35,0,No
QA-115,TKT-0115,ENG-020,2026-03-14,90,62,No,3.5,25,0,Yes
QA-116,TKT-0116,ENG-023,2026-03-14,87,78,Yes,4.0,50,1,Yes
QA-117,TKT-0117,ENG-008,2026-03-14,92,76,Yes,4.0,40,0,No
QA-118,TKT-0118,ENG-006,2026-03-14,80,92,Yes,4.7,70,2,Yes
QA-119,TKT-0119,ENG-026,2026-03-14,94,60,No,3.4,18,0,No
QA-120,TKT-0120,ENG-015,2026-03-18,89,70,Yes,3.8,85,0,No
QA-121,TKT-0121,ENG-001,2026-03-15,91,74,Yes,3.9,45,0,No
QA-122,TKT-0122,ENG-014,2026-03-15,88,72,Yes,3.8,30,0,Yes
QA-123,TKT-0123,ENG-004,2026-03-15,93,58,No,3.3,20,0,No
QA-124,TKT-0124,ENG-030,2026-03-15,87,88,Yes,4.5,50,1,No
QA-125,TKT-0125,ENG-013,2026-03-15,78,94,Yes,4.8,75,2,Yes
QA-126,TKT-0126,ENG-002,2026-03-16,95,60,No,3.4,15,0,No
QA-127,TKT-0127,ENG-019,2026-03-16,93,80,Yes,4.1,40,0,No
QA-128,TKT-0128,ENG-012,2026-03-16,80,96,Yes,4.9,80,2,No
QA-129,TKT-0129,ENG-021,2026-03-16,92,58,No,3.3,20,0,No
QA-130,TKT-0130,ENG-016,2026-03-16,90,68,Yes,3.7,25,0,Yes
QA-131,TKT-0131,ENG-009,2026-03-16,85,82,Yes,4.2,50,1,Yes
QA-132,TKT-0132,ENG-017,2026-03-21,73,98,Yes,4.9,230,1,No
QA-133,TKT-0133,ENG-025,2026-03-17,86,78,Yes,4.0,55,1,Yes
QA-134,TKT-0134,ENG-022,2026-03-17,91,72,Yes,3.9,50,0,No
QA-135,TKT-0135,ENG-003,2026-03-17,94,68,Yes,3.7,30,0,No
