impact_id,customer_id,timestamp,service_affected,impact_type,est_restore_time
CI-0001,CUST-001,2026-03-10T00:02:14.450Z,MPLS VPN,Degraded,2026-03-10T01:00:00Z
CI-0002,CUST-003,2026-03-10T00:02:14.560Z,Dedicated Internet,Down,2026-03-10T02:00:00Z
CI-0003,CUST-005,2026-03-10T00:02:15.102Z,Ethernet Private Line,Degraded,2026-03-10T01:30:00Z
CI-0004,CUST-008,2026-03-10T00:02:15.340Z,MPLS VPN,Down,2026-03-10T03:00:00Z
CI-0005,CUST-010,2026-03-10T00:02:16.102Z,SD-WAN,Degraded,2026-03-10T00:45:00Z
CI-0006,CUST-012,2026-03-10T00:02:16.450Z,Voice SIP Trunk,Down,2026-03-10T01:15:00Z
CI-0007,CUST-002,2026-03-10T00:02:17.102Z,Dedicated Internet,Latency,2026-03-10T00:30:00Z
CI-0008,CUST-015,2026-03-10T00:02:17.560Z,Wavelength Service,Down,2026-03-10T04:00:00Z
CI-0009,CUST-018,2026-03-10T00:02:18.102Z,MPLS VPN,Packet Loss,2026-03-10T01:00:00Z
CI-0010,CUST-020,2026-03-10T00:02:18.560Z,Colocation Power,Degraded,2026-03-10T00:45:00Z
CI-0011,CUST-022,2026-03-10T00:02:19.102Z,Managed Firewall,Down,2026-03-10T01:30:00Z
CI-0012,CUST-004,2026-03-10T00:02:19.560Z,DDoS Protection,Degraded,2026-03-10T00:30:00Z
CI-0013,CUST-006,2026-03-10T00:02:20.102Z,Cloud Connect,Down,2026-03-10T02:30:00Z
CI-0014,CUST-009,2026-03-10T00:02:20.560Z,Dedicated Internet,Latency,2026-03-10T00:45:00Z
CI-0015,CUST-011,2026-03-10T00:02:21.102Z,Ethernet Private Line,Degraded,2026-03-10T01:00:00Z
CI-0016,CUST-013,2026-03-10T00:02:21.560Z,MPLS VPN,Packet Loss,2026-03-10T01:15:00Z
CI-0017,CUST-016,2026-03-10T00:02:22.102Z,SD-WAN,Down,2026-03-10T02:00:00Z
CI-0018,CUST-019,2026-03-10T00:02:22.560Z,Voice SIP Trunk,Degraded,2026-03-10T00:30:00Z
CI-0019,CUST-021,2026-03-10T00:02:23.102Z,Dedicated Internet,Down,2026-03-10T03:00:00Z
CI-0020,CUST-023,2026-03-10T00:02:23.560Z,Wavelength Service,Degraded,2026-03-10T01:30:00Z
CI-0021,CUST-007,2026-03-10T00:02:24.102Z,MPLS VPN,Degraded,2026-03-10T00:45:00Z
CI-0022,CUST-014,2026-03-10T00:02:24.560Z,Managed Firewall,Down,2026-03-10T01:00:00Z
CI-0023,CUST-017,2026-03-10T00:02:25.102Z,Cloud Connect,Latency,2026-03-10T00:30:00Z
CI-0024,CUST-024,2026-03-10T00:02:25.560Z,Colocation Power,Down,2026-03-10T02:00:00Z
CI-0025,CUST-025,2026-03-10T00:02:26.102Z,DDoS Protection,Degraded,2026-03-10T00:45:00Z
CI-0026,CUST-001,2026-03-10T00:15:00.102Z,MPLS VPN,Restored,2026-03-10T00:15:00Z
CI-0027,CUST-005,2026-03-10T00:18:00.324Z,Ethernet Private Line,Restored,2026-03-10T00:18:00Z
CI-0028,CUST-010,2026-03-10T00:20:00.546Z,SD-WAN,Restored,2026-03-10T00:20:00Z
CI-0029,CUST-002,2026-03-10T00:22:00.768Z,Dedicated Internet,Restored,2026-03-10T00:22:00Z
CI-0030,CUST-004,2026-03-10T00:25:00.990Z,DDoS Protection,Restored,2026-03-10T00:25:00Z
CI-0031,CUST-007,2026-03-10T00:28:00.102Z,MPLS VPN,Restored,2026-03-10T00:28:00Z
CI-0032,CUST-019,2026-03-10T00:30:00.324Z,Voice SIP Trunk,Restored,2026-03-10T00:30:00Z
CI-0033,CUST-023,2026-03-10T00:32:00.546Z,Wavelength Service,Restored,2026-03-10T00:32:00Z
CI-0034,CUST-009,2026-03-10T00:35:00.768Z,Dedicated Internet,Restored,2026-03-10T00:35:00Z
CI-0035,CUST-014,2026-03-10T00:38:00.990Z,Managed Firewall,Restored,2026-03-10T00:38:00Z
CI-0036,CUST-017,2026-03-10T00:40:00.102Z,Cloud Connect,Restored,2026-03-10T00:40:00Z
CI-0037,CUST-020,2026-03-10T00:42:00.324Z,Colocation Power,Restored,2026-03-10T00:42:00Z
CI-0038,CUST-025,2026-03-10T00:45:00.546Z,DDoS Protection,Restored,2026-03-10T00:45:00Z
CI-0039,CUST-011,2026-03-10T00:48:00.768Z,Ethernet Private Line,Restored,2026-03-10T00:48:00Z
CI-0040,CUST-012,2026-03-10T00:50:00.990Z,Voice SIP Trunk,Restored,2026-03-10T00:50:00Z
CI-0041,CUST-013,2026-03-10T00:52:00.102Z,MPLS VPN,Restored,2026-03-10T00:52:00Z
CI-0042,CUST-018,2026-03-10T00:55:00.324Z,MPLS VPN,Restored,2026-03-10T00:55:00Z
CI-0043,CUST-022,2026-03-10T00:58:00.546Z,Managed Firewall,Restored,2026-03-10T00:58:00Z
CI-0044,CUST-003,2026-03-10T01:05:00.768Z,Dedicated Internet,Restored,2026-03-10T01:05:00Z
CI-0045,CUST-006,2026-03-10T01:10:00.990Z,Cloud Connect,Restored,2026-03-10T01:10:00Z
CI-0046,CUST-016,2026-03-10T01:15:00.102Z,MPLS VPN,Restored,2026-03-10T01:15:00Z
