dispatch_id,technician_id,timestamp,ticket_id,status,location,eta_min
SD-0001,ENG-007,2026-03-10T00:01:05.120Z,TKT-0287,Dispatched,40.7128;-74.0060,28
SD-0002,ENG-009,2026-03-10T00:01:20.340Z,TKT-0288,Dispatched,40.7580;-73.9855,35
SD-0003,ENG-010,2026-03-10T00:02:00.560Z,TKT-0290,Dispatched,40.6892;-74.0445,22
SD-0004,ENG-007,2026-03-10T00:05:15.780Z,TKT-0287,En Route,40.7200;-74.0100,22
SD-0005,ENG-015,2026-03-10T00:06:00.102Z,TKT-0291,Dispatched,40.7484;-73.9857,30
SD-0006,ENG-009,2026-03-10T00:06:30.324Z,TKT-0288,En Route,40.7650;-73.9800,28
SD-0007,ENG-010,2026-03-10T00:07:45.546Z,TKT-0290,En Route,40.6950;-74.0300,15
SD-0008,ENG-019,2026-03-10T00:08:00.768Z,TKT-0293,Dispatched,40.7527;-73.9772,32
SD-0009,ENG-007,2026-03-10T00:10:02.990Z,TKT-0287,En Route,40.7282;-74.0776,12
SD-0010,ENG-021,2026-03-10T00:10:30.102Z,TKT-0294,Dispatched,40.7357;-73.9911,25
SD-0011,ENG-015,2026-03-10T00:11:00.324Z,TKT-0291,En Route,40.7520;-73.9820,22
SD-0012,ENG-010,2026-03-10T00:12:15.546Z,TKT-0290,Arrived,40.6782;-73.9442,0
SD-0013,ENG-009,2026-03-10T00:13:00.768Z,TKT-0288,En Route,40.7750;-73.9720,12
SD-0014,ENG-023,2026-03-10T00:13:30.990Z,TKT-0296,Dispatched,40.7061;-73.9969,28
SD-0015,ENG-007,2026-03-10T00:15:00.102Z,TKT-0287,Arrived,40.7282;-74.0776,0
SD-0016,ENG-019,2026-03-10T00:15:45.324Z,TKT-0293,En Route,40.7600;-73.9650,22
SD-0017,ENG-021,2026-03-10T00:16:30.546Z,TKT-0294,En Route,40.7400;-73.9880,18
SD-0018,ENG-015,2026-03-10T00:17:00.768Z,TKT-0291,Arrived,40.7614;-73.9776,0
SD-0019,ENG-027,2026-03-10T00:17:30.990Z,TKT-0297,Dispatched,40.7282;-73.7949,35
