metric_id,equipment_id,timestamp,metric_type,value,threshold,interface_id
PM-0001,EQ-003,2026-03-10T00:00:01.102Z,cpu_utilization,78.4,85.0,ge-0/0/1
PM-0002,EQ-003,2026-03-10T00:00:01.205Z,memory_utilization,62.1,80.0,ge-0/0/1
PM-0003,EQ-003,2026-03-10T00:00:01.310Z,interface_throughput,8.2,10.0,ge-0/0/1
PM-0004,EQ-007,2026-03-10T00:00:02.102Z,cpu_utilization,91.2,85.0,eth1/1
PM-0005,EQ-007,2026-03-10T00:00:02.215Z,memory_utilization,71.5,80.0,eth1/1
PM-0006,EQ-007,2026-03-10T00:00:02.320Z,interface_throughput,9.1,10.0,eth1/1
PM-0007,EQ-012,2026-03-10T00:00:03.102Z,cpu_utilization,45.6,85.0,xe-0/0/0
PM-0008,EQ-012,2026-03-10T00:00:03.215Z,packet_loss_pct,0.02,0.1,xe-0/0/0
PM-0009,EQ-012,2026-03-10T00:00:03.320Z,latency_ms,12.4,50.0,xe-0/0/0
PM-0010,EQ-019,2026-03-10T00:00:04.102Z,cpu_utilization,55.8,85.0,ge-0/0/3
PM-0011,EQ-019,2026-03-10T00:00:04.215Z,power_draw_watts,380.0,500.0,ge-0/0/3
PM-0012,EQ-019,2026-03-10T00:00:04.320Z,temperature_celsius,42.1,65.0,ge-0/0/3
PM-0013,EQ-025,2026-03-10T00:00:05.102Z,cpu_utilization,33.2,85.0,eth2/1
PM-0014,EQ-025,2026-03-10T00:00:05.215Z,optical_power_dbm,-8.2,-12.0,eth2/1
PM-0015,EQ-025,2026-03-10T00:00:05.320Z,ber,1.2e-09,1.0e-06,eth2/1
PM-0016,EQ-031,2026-03-10T00:00:06.102Z,cpu_utilization,67.3,85.0,xe-0/0/2
PM-0017,EQ-031,2026-03-10T00:00:06.215Z,interface_errors,12,100,xe-0/0/2
PM-0018,EQ-031,2026-03-10T00:00:06.320Z,interface_throughput,7.8,10.0,xe-0/0/2
PM-0019,EQ-038,2026-03-10T00:00:07.102Z,cpu_utilization,42.1,85.0,ge-0/0/5
PM-0020,EQ-038,2026-03-10T00:00:07.215Z,memory_utilization,82.3,80.0,ge-0/0/5
PM-0021,EQ-038,2026-03-10T00:00:07.320Z,disk_utilization,58.4,90.0,ge-0/0/5
PM-0022,EQ-042,2026-03-10T00:00:08.102Z,optical_power_dbm,-10.8,-12.0,port-1/1
PM-0023,EQ-042,2026-03-10T00:00:08.215Z,ber,5.6e-08,1.0e-06,port-1/1
PM-0024,EQ-042,2026-03-10T00:00:08.320Z,chromatic_dispersion,14.2,20.0,port-1/1
PM-0025,EQ-048,2026-03-10T00:00:09.102Z,signal_strength_dbm,-62.4,-75.0,radio-0/0
PM-0026,EQ-048,2026-03-10T00:00:09.215Z,snr_db,18.5,15.0,radio-0/0
PM-0027,EQ-048,2026-03-10T00:00:09.320Z,channel_utilization,72.1,80.0,radio-0/0
PM-0028,EQ-005,2026-03-10T00:00:10.102Z,cpu_utilization,28.9,85.0,ge-0/0/7
PM-0029,EQ-005,2026-03-10T00:00:10.215Z,latency_ms,45.2,50.0,ge-0/0/7
PM-0030,EQ-005,2026-03-10T00:00:10.320Z,jitter_ms,3.8,5.0,ge-0/0/7
PM-0031,EQ-011,2026-03-10T00:00:11.102Z,interface_throughput,9.6,10.0,eth3/1
PM-0032,EQ-011,2026-03-10T00:00:11.215Z,packet_loss_pct,0.15,0.1,eth3/1
PM-0033,EQ-011,2026-03-10T00:00:11.320Z,crc_errors,45,100,eth3/1
PM-0034,EQ-018,2026-03-10T00:00:12.102Z,cpu_utilization,38.7,85.0,ge-0/0/2
PM-0035,EQ-018,2026-03-10T00:00:12.215Z,session_count,4520,10000,ge-0/0/2
PM-0036,EQ-018,2026-03-10T00:00:12.320Z,nat_translations,8900,15000,ge-0/0/2
PM-0037,EQ-024,2026-03-10T00:00:13.102Z,temperature_celsius,58.7,65.0,eth1/2
PM-0038,EQ-024,2026-03-10T00:00:13.215Z,fan_speed_rpm,4200,5000,eth1/2
PM-0039,EQ-024,2026-03-10T00:00:13.320Z,power_draw_watts,420.0,500.0,eth1/2
PM-0040,EQ-030,2026-03-10T00:00:14.102Z,cpu_utilization,72.8,85.0,xe-0/0/4
PM-0041,EQ-030,2026-03-10T00:00:14.215Z,bgp_prefixes,185000,200000,xe-0/0/4
PM-0042,EQ-030,2026-03-10T00:00:14.320Z,ospf_neighbors,12,16,xe-0/0/4
PM-0043,EQ-036,2026-03-10T00:00:15.102Z,latency_ms,22.5,50.0,ge-0/0/4
PM-0044,EQ-036,2026-03-10T00:00:15.215Z,jitter_ms,4.8,5.0,ge-0/0/4
PM-0045,EQ-036,2026-03-10T00:00:15.320Z,packet_loss_pct,0.05,0.1,ge-0/0/4
PM-0046,EQ-041,2026-03-10T00:00:16.102Z,optical_power_dbm,-11.2,-12.0,port-2/1
PM-0047,EQ-041,2026-03-10T00:00:16.215Z,ber,8.9e-07,1.0e-06,port-2/1
PM-0048,EQ-041,2026-03-10T00:00:16.320Z,osnr_db,22.1,20.0,port-2/1
PM-0049,EQ-047,2026-03-10T00:00:17.102Z,battery_voltage,47.2,48.0,ups-0/0
PM-0050,EQ-047,2026-03-10T00:00:17.215Z,battery_charge_pct,82.0,90.0,ups-0/0
PM-0051,EQ-047,2026-03-10T00:00:17.320Z,load_pct,68.5,80.0,ups-0/0
PM-0052,EQ-002,2026-03-10T00:00:18.102Z,cpu_utilization,88.5,85.0,ge-0/0/0
PM-0053,EQ-002,2026-03-10T00:00:18.215Z,connections_per_sec,12500,15000,ge-0/0/0
PM-0054,EQ-002,2026-03-10T00:00:18.320Z,bandwidth_utilization,92.3,85.0,ge-0/0/0
PM-0055,EQ-013,2026-03-10T00:00:19.102Z,cpu_utilization,52.4,85.0,eth4/1
PM-0056,EQ-013,2026-03-10T00:00:19.215Z,arp_table_entries,2800,4096,eth4/1
PM-0057,EQ-013,2026-03-10T00:00:19.320Z,mac_table_entries,15200,32000,eth4/1
PM-0058,EQ-020,2026-03-10T00:00:20.102Z,battery_voltage,46.8,48.0,ups-0/1
PM-0059,EQ-020,2026-03-10T00:00:20.215Z,battery_charge_pct,75.0,90.0,ups-0/1
PM-0060,EQ-020,2026-03-10T00:00:20.320Z,runtime_remaining_min,45,60,ups-0/1
PM-0061,EQ-026,2026-03-10T00:00:21.102Z,optical_power_dbm,-9.5,-12.0,port-1/2
PM-0062,EQ-026,2026-03-10T00:00:21.215Z,interface_throughput,6.2,10.0,port-1/2
PM-0063,EQ-026,2026-03-10T00:00:21.320Z,crc_errors,8,100,port-1/2
PM-0064,EQ-032,2026-03-10T00:00:22.102Z,temperature_celsius,35.2,65.0,xe-0/0/6
PM-0065,EQ-032,2026-03-10T00:00:22.215Z,humidity_pct,48.0,70.0,xe-0/0/6
PM-0066,EQ-032,2026-03-10T00:00:22.320Z,power_draw_watts,280.0,500.0,xe-0/0/6
PM-0067,EQ-037,2026-03-10T00:00:23.102Z,cpu_utilization,82.1,85.0,ge-0/0/8
PM-0068,EQ-037,2026-03-10T00:00:23.215Z,mpls_lsp_count,45,50,ge-0/0/8
PM-0069,EQ-037,2026-03-10T00:00:23.320Z,ldp_sessions,8,10,ge-0/0/8
PM-0070,EQ-043,2026-03-10T00:00:24.102Z,optical_power_dbm,-11.8,-12.0,port-3/1
PM-0071,EQ-043,2026-03-10T00:00:24.215Z,span_loss_db,18.5,22.0,port-3/1
PM-0072,EQ-043,2026-03-10T00:00:24.320Z,chromatic_dispersion,16.8,20.0,port-3/1
PM-0073,EQ-049,2026-03-10T00:00:25.102Z,signal_strength_dbm,-68.2,-75.0,radio-0/1
PM-0074,EQ-049,2026-03-10T00:00:25.215Z,snr_db,16.2,15.0,radio-0/1
PM-0075,EQ-049,2026-03-10T00:00:25.320Z,interference_level_dbm,-85.0,-80.0,radio-0/1
PM-0076,EQ-004,2026-03-10T00:00:26.102Z,cpu_utilization,31.5,85.0,ge-0/0/9
PM-0077,EQ-004,2026-03-10T00:00:26.215Z,stp_topology_changes,2,5,ge-0/0/9
PM-0078,EQ-004,2026-03-10T00:00:26.320Z,spanning_tree_cost,19,100,ge-0/0/9
PM-0079,EQ-010,2026-03-10T00:00:27.102Z,cpu_utilization,48.2,85.0,eth2/2
PM-0080,EQ-010,2026-03-10T00:00:27.215Z,auth_requests_per_sec,250,500,eth2/2
PM-0081,EQ-010,2026-03-10T00:00:27.320Z,auth_failures_per_sec,12,25,eth2/2
PM-0082,EQ-016,2026-03-10T00:00:28.102Z,ntp_offset_ms,0.45,1.0,ge-0/0/1
PM-0083,EQ-016,2026-03-10T00:00:28.215Z,ntp_jitter_ms,0.12,0.5,ge-0/0/1
PM-0084,EQ-016,2026-03-10T00:00:28.320Z,cpu_utilization,22.8,85.0,ge-0/0/1
PM-0085,EQ-022,2026-03-10T00:00:29.102Z,vlan_count,120,4094,eth1/3
PM-0086,EQ-022,2026-03-10T00:00:29.215Z,trunk_utilization,65.4,80.0,eth1/3
PM-0087,EQ-022,2026-03-10T00:00:29.320Z,broadcast_storm_pps,150,1000,eth1/3
PM-0088,EQ-028,2026-03-10T00:00:30.102Z,interface_throughput,8.9,10.0,xe-0/0/1
PM-0089,EQ-028,2026-03-10T00:00:30.215Z,qos_drops,85,200,xe-0/0/1
PM-0090,EQ-028,2026-03-10T00:00:30.320Z,buffer_utilization,72.1,85.0,xe-0/0/1
PM-0091,EQ-034,2026-03-10T00:00:31.102Z,dns_queries_per_sec,1200,2000,ge-0/0/6
PM-0092,EQ-034,2026-03-10T00:00:31.215Z,dns_failures_per_sec,45,100,ge-0/0/6
PM-0093,EQ-034,2026-03-10T00:00:31.320Z,cache_hit_ratio,82.5,70.0,ge-0/0/6
PM-0094,EQ-040,2026-03-10T00:00:32.102Z,optical_power_dbm,-15.2,-12.0,port-4/1
PM-0095,EQ-040,2026-03-10T00:00:32.215Z,ber,2.3e-05,1.0e-06,port-4/1
PM-0096,EQ-040,2026-03-10T00:00:32.320Z,span_loss_db,24.5,22.0,port-4/1
PM-0097,EQ-046,2026-03-10T00:00:33.102Z,signal_strength_dbm,-72.8,-75.0,radio-0/2
PM-0098,EQ-046,2026-03-10T00:00:33.215Z,antenna_vswr,1.8,2.0,radio-0/2
PM-0099,EQ-046,2026-03-10T00:00:33.320Z,beam_tilt_degrees,4.2,6.0,radio-0/2
PM-0100,EQ-050,2026-03-10T00:00:34.102Z,tower_light_status,0,1,tower-0/0
