activity_id,ticket_id,engineer_id,timestamp,action,status,priority,sla_remaining_min
TA-0001,TKT-0287,ENG-001,2026-03-10T00:01:02.120Z,create,Open,P1,240
TA-0002,TKT-0288,ENG-003,2026-03-10T00:01:15.340Z,create,Open,P2,480
TA-0003,TKT-0289,ENG-005,2026-03-10T00:01:28.560Z,create,Open,P3,1440
TA-0004,TKT-0287,ENG-001,2026-03-10T00:03:45.780Z,assign,In Progress,P1,237
TA-0005,TKT-0290,ENG-002,2026-03-10T00:04:02.102Z,create,Open,P1,240
TA-0006,TKT-0287,ENG-001,2026-03-10T00:05:12.230Z,update_notes,In Progress,P1,235
TA-0007,TKT-0288,ENG-003,2026-03-10T00:06:30.450Z,assign,In Progress,P2,475
TA-0008,TKT-0291,ENG-006,2026-03-10T00:07:00.670Z,create,Open,P2,480
TA-0009,TKT-0290,ENG-002,2026-03-10T00:07:22.890Z,assign,In Progress,P1,237
TA-0010,TKT-0287,ENG-001,2026-03-10T00:08:45.102Z,escalate,Escalated,P1,232
TA-0011,TKT-0289,ENG-005,2026-03-10T00:09:12.320Z,assign,In Progress,P3,1432
TA-0012,TKT-0292,ENG-004,2026-03-10T00:10:00.540Z,create,Open,P3,1440
TA-0013,TKT-0290,ENG-002,2026-03-10T00:10:15.760Z,update_notes,In Progress,P1,234
TA-0014,TKT-0291,ENG-006,2026-03-10T00:11:30.980Z,assign,In Progress,P2,476
TA-0015,TKT-0287,ENG-008,2026-03-10T00:12:00.102Z,accept_escalation,In Progress,P1,229
TA-0016,TKT-0293,ENG-011,2026-03-10T00:12:45.324Z,create,Open,P1,240
TA-0017,TKT-0288,ENG-003,2026-03-10T00:13:22.546Z,update_notes,In Progress,P2,473
TA-0018,TKT-0290,ENG-002,2026-03-10T00:14:00.768Z,add_attachment,In Progress,P1,231
TA-0019,TKT-0292,ENG-004,2026-03-10T00:14:35.990Z,assign,In Progress,P3,1436
TA-0020,TKT-0294,ENG-012,2026-03-10T00:15:10.102Z,create,Open,P2,480
TA-0021,TKT-0293,ENG-011,2026-03-10T00:15:45.324Z,assign,In Progress,P1,237
TA-0022,TKT-0287,ENG-008,2026-03-10T00:16:30.546Z,run_diagnostic,In Progress,P1,225
TA-0023,TKT-0289,ENG-005,2026-03-10T00:17:12.768Z,update_notes,In Progress,P3,1424
TA-0024,TKT-0291,ENG-006,2026-03-10T00:17:45.990Z,update_notes,In Progress,P2,470
TA-0025,TKT-0295,ENG-014,2026-03-10T00:18:22.102Z,create,Open,P4,2880
TA-0026,TKT-0290,ENG-002,2026-03-10T00:19:00.324Z,escalate,Escalated,P1,225
TA-0027,TKT-0294,ENG-012,2026-03-10T00:19:35.546Z,assign,In Progress,P2,476
TA-0028,TKT-0293,ENG-011,2026-03-10T00:20:10.768Z,update_notes,In Progress,P1,233
TA-0029,TKT-0288,ENG-003,2026-03-10T00:21:00.990Z,add_worklog,In Progress,P2,467
TA-0030,TKT-0296,ENG-016,2026-03-10T00:21:45.102Z,create,Open,P1,240
TA-0031,TKT-0295,ENG-014,2026-03-10T00:22:22.324Z,assign,In Progress,P4,2876
TA-0032,TKT-0292,ENG-004,2026-03-10T00:23:00.546Z,update_notes,In Progress,P3,1427
TA-0033,TKT-0287,ENG-008,2026-03-10T00:23:45.768Z,update_notes,In Progress,P1,218
TA-0034,TKT-0290,ENG-013,2026-03-10T00:24:15.990Z,accept_escalation,In Progress,P1,221
TA-0035,TKT-0296,ENG-016,2026-03-10T00:25:00.102Z,assign,In Progress,P1,237
TA-0036,TKT-0291,ENG-006,2026-03-10T00:25:45.324Z,add_attachment,In Progress,P2,465
TA-0037,TKT-0289,ENG-005,2026-03-10T00:26:22.546Z,update_resolution,In Progress,P3,1417
TA-0038,TKT-0293,ENG-011,2026-03-10T00:27:00.768Z,escalate,Escalated,P1,226
TA-0039,TKT-0294,ENG-012,2026-03-10T00:27:45.990Z,update_notes,In Progress,P2,469
TA-0040,TKT-0297,ENG-018,2026-03-10T00:28:22.102Z,create,Open,P2,480
TA-0041,TKT-0287,ENG-008,2026-03-10T00:29:00.324Z,resolve,Resolved,P1,213
TA-0042,TKT-0296,ENG-016,2026-03-10T00:30:00.546Z,update_notes,In Progress,P1,232
TA-0043,TKT-0290,ENG-013,2026-03-10T00:30:45.768Z,run_diagnostic,In Progress,P1,215
TA-0044,TKT-0295,ENG-014,2026-03-10T00:31:22.990Z,update_notes,In Progress,P4,2867
TA-0045,TKT-0298,ENG-020,2026-03-10T00:32:00.102Z,create,Open,P3,1440
TA-0046,TKT-0297,ENG-018,2026-03-10T00:32:45.324Z,assign,In Progress,P2,476
TA-0047,TKT-0293,ENG-022,2026-03-10T00:33:22.546Z,accept_escalation,In Progress,P1,221
TA-0048,TKT-0288,ENG-003,2026-03-10T00:34:00.768Z,update_resolution,In Progress,P2,459
TA-0049,TKT-0291,ENG-006,2026-03-10T00:34:45.990Z,resolve,Resolved,P2,458
TA-0050,TKT-0289,ENG-005,2026-03-10T00:35:22.102Z,resolve,Resolved,P3,1407
TA-0051,TKT-0299,ENG-024,2026-03-10T00:36:00.324Z,create,Open,P1,240
TA-0052,TKT-0298,ENG-020,2026-03-10T00:36:45.546Z,assign,In Progress,P3,1435
TA-0053,TKT-0292,ENG-004,2026-03-10T00:37:22.768Z,add_worklog,In Progress,P3,1413
TA-0054,TKT-0296,ENG-016,2026-03-10T00:38:00.990Z,add_attachment,In Progress,P1,225
TA-0055,TKT-0290,ENG-013,2026-03-10T00:38:45.102Z,update_notes,In Progress,P1,210
TA-0056,TKT-0300,ENG-026,2026-03-10T00:39:22.324Z,create,Open,P2,480
TA-0057,TKT-0299,ENG-024,2026-03-10T00:40:00.546Z,assign,In Progress,P1,236
TA-0058,TKT-0293,ENG-022,2026-03-10T00:40:45.768Z,run_diagnostic,In Progress,P1,214
TA-0059,TKT-0297,ENG-018,2026-03-10T00:41:22.990Z,update_notes,In Progress,P2,468
TA-0060,TKT-0294,ENG-012,2026-03-10T00:42:00.102Z,add_worklog,In Progress,P2,455
TA-0061,TKT-0287,ENG-008,2026-03-10T00:42:45.324Z,close,Closed,P1,210
TA-0062,TKT-0300,ENG-026,2026-03-10T00:43:22.546Z,assign,In Progress,P2,476
TA-0063,TKT-0298,ENG-020,2026-03-10T00:44:00.768Z,update_notes,In Progress,P3,1427
TA-0064,TKT-0292,ENG-004,2026-03-10T00:44:45.990Z,resolve,Resolved,P3,1402
TA-0065,TKT-0296,ENG-016,2026-03-10T00:45:22.102Z,escalate,Escalated,P1,218
TA-0066,TKT-0290,ENG-013,2026-03-10T00:46:00.324Z,resolve,Resolved,P1,203
TA-0067,TKT-0295,ENG-014,2026-03-10T00:46:45.546Z,resolve,Resolved,P4,2853
TA-0068,TKT-0293,ENG-022,2026-03-10T00:47:22.768Z,update_notes,In Progress,P1,207
TA-0069,TKT-0299,ENG-024,2026-03-10T00:48:00.990Z,update_notes,In Progress,P1,228
TA-0070,TKT-0288,ENG-003,2026-03-10T00:48:45.102Z,resolve,Resolved,P2,445
TA-0071,TKT-0297,ENG-018,2026-03-10T00:49:22.324Z,add_attachment,In Progress,P2,460
TA-0072,TKT-0300,ENG-026,2026-03-10T00:50:00.546Z,update_notes,In Progress,P2,469
TA-0073,TKT-0296,ENG-028,2026-03-10T00:50:45.768Z,accept_escalation,In Progress,P1,213
TA-0074,TKT-0294,ENG-012,2026-03-10T00:51:22.990Z,resolve,Resolved,P2,449
TA-0075,TKT-0298,ENG-020,2026-03-10T00:52:00.102Z,update_resolution,In Progress,P3,1417
TA-0076,TKT-0293,ENG-022,2026-03-10T00:52:45.324Z,resolve,Resolved,P1,200
TA-0077,TKT-0299,ENG-024,2026-03-10T00:53:22.546Z,run_diagnostic,In Progress,P1,222
TA-0078,TKT-0297,ENG-018,2026-03-10T00:54:00.768Z,resolve,Resolved,P2,454
TA-0079,TKT-0296,ENG-028,2026-03-10T00:54:45.990Z,run_diagnostic,In Progress,P1,209
TA-0080,TKT-0300,ENG-026,2026-03-10T00:55:22.102Z,add_worklog,In Progress,P2,464
TA-0081,TKT-0298,ENG-020,2026-03-10T00:56:00.324Z,resolve,Resolved,P3,1413
TA-0082,TKT-0291,ENG-006,2026-03-10T00:56:45.546Z,close,Closed,P2,442
TA-0083,TKT-0296,ENG-028,2026-03-10T00:57:22.768Z,update_notes,In Progress,P1,202
TA-0084,TKT-0299,ENG-024,2026-03-10T00:58:00.990Z,resolve,Resolved,P1,218
TA-0085,TKT-0289,ENG-005,2026-03-10T00:58:45.102Z,close,Closed,P3,1397
TA-0086,TKT-0300,ENG-026,2026-03-10T00:59:22.324Z,resolve,Resolved,P2,456
TA-0087,TKT-0292,ENG-004,2026-03-10T01:00:00.546Z,close,Closed,P3,1391
TA-0088,TKT-0296,ENG-028,2026-03-10T01:00:45.768Z,resolve,Resolved,P1,196
TA-0089,TKT-0290,ENG-013,2026-03-10T01:01:22.990Z,close,Closed,P1,195
TA-0090,TKT-0294,ENG-012,2026-03-10T01:02:00.102Z,close,Closed,P2,441
TA-0091,TKT-0293,ENG-022,2026-03-10T01:02:45.324Z,close,Closed,P1,190
TA-0092,TKT-0295,ENG-014,2026-03-10T01:03:22.546Z,close,Closed,P4,2836
TA-0093,TKT-0297,ENG-018,2026-03-10T01:04:00.768Z,close,Closed,P2,444
TA-0094,TKT-0288,ENG-003,2026-03-10T01:04:45.990Z,close,Closed,P2,435
TA-0095,TKT-0298,ENG-020,2026-03-10T01:05:22.102Z,close,Closed,P3,1402
TA-0096,TKT-0299,ENG-024,2026-03-10T01:06:00.324Z,close,Closed,P1,210
TA-0097,TKT-0300,ENG-026,2026-03-10T01:06:45.546Z,close,Closed,P2,450
TA-0098,TKT-0296,ENG-028,2026-03-10T01:07:22.768Z,close,Closed,P1,188
TA-0099,TKT-0287,ENG-008,2026-03-10T01:08:00.990Z,reopen,Reopened,P1,205
TA-0100,TKT-0287,ENG-008,2026-03-10T01:10:00.102Z,resolve,Resolved,P1,203
